ensembl_gene_id,external_gene_name,"gene_description"
ENSG00000233273,AMMECR1LP1,"AMMECR1-like pseudogene 1 "
ENSG00000205822,TPTE2P6,"transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6 "
ENSG00000235137,HSP90AB6P,"heat shock protein 90kDa alpha (cytosolic), class B member 6, pseudogene "
ENSG00000243300,LINC00359,"long intergenic non-protein coding RNA 359 "
ENSG00000266216,AL359538.2,""
ENSG00000244615,PSPC1P2,"paraspeckle component 1 pseudogene 2 "
ENSG00000234267,TULP3P1,"tubby like protein 3 pseudogene 1 "
ENSG00000243008,RP11-556N21.1,""
ENSG00000272329,RP11-65L19.4,""
ENSG00000211508,AL359538.1,""
ENSG00000222472,RN7SKP7,"RNA, 7SK small nuclear pseudogene 7 "
ENSG00000207474,RNY1P7,"RNA, Ro-associated Y1 pseudogene 7 "
ENSG00000252154,SNORD112,"Small nucleolar RNA SNORD112 "
ENSG00000225404,RPL26P34,"ribosomal protein L26 pseudogene 34 "
ENSG00000238522,snoU13,"Small nucleolar RNA U13 "
ENSG00000233124,LINC00456,"long intergenic non-protein coding RNA 456 "
ENSG00000231417,IRX1P1,"iroquois homeobox 1 pseudogene 1 "
ENSG00000202290,RNA5SP37,"RNA, 5S ribosomal pseudogene 37 "
ENSG00000271625,PSMA6P4,"proteasome (prosome, macropain) subunit, alpha type, 6 pseudogene 4 "
ENSG00000226695,ANKRD20A10P,"ankyrin repeat domain 20 family, member A10, pseudogene "
ENSG00000226134,RP11-120E13.1,""
ENSG00000238407,snoU13,"Small nucleolar RNA U13 "
ENSG00000233291,RPL7AP61,"ribosomal protein L7a pseudogene 61 "
ENSG00000270725,RP11-383H17.4,""
ENSG00000253771,TPTE2P1,"transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 1 "
ENSG00000232217,FTLP8,"ferritin, light polypeptide pseudogene 8 "
ENSG00000222969,RN7SKP8,"RNA, 7SK small nuclear pseudogene 8 "
ENSG00000263399,MIR3170,"microRNA 3170 "
ENSG00000269189,RP11-573N10.1,""
ENSG00000269599,RP11-261P24.2,""
ENSG00000251299,SLC25A15P3,"solute carrier family 25 (mitochondrial carrier, ornithine transporter) member 15 pseudogene 3 "
ENSG00000231194,FARP1-AS1,"FARP1 antisense RNA 1 "
ENSG00000271437,RP11-295B17.6,""
ENSG00000232858,RPL34P27,"ribosomal protein L34 pseudogene 27 "
ENSG00000224418,STK24-AS1,"STK24 antisense RNA 1 "
ENSG00000256305,AL359757.1,""
ENSG00000217686,NUS1P4,"nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) pseudogene 4 "
ENSG00000234056,AMER2-AS1,"AMER2 antisense RNA 1 (head to head) "
ENSG00000233549,CYCSP35,"cytochrome c, somatic pseudogene 35 "
ENSG00000238169,LINC01053,"long intergenic non-protein coding RNA 1053 "
ENSG00000233662,CALM2P4,"calmodulin 2 pseudogene 4 "
ENSG00000225105,LINC01076,"long intergenic non-protein coding RNA 1076 "
ENSG00000243366,RN7SL60P,"RNA, 7SL, cytoplasmic 60, pseudogene "
ENSG00000235315,RPL23AP69,"ribosomal protein L23a pseudogene 69 "
ENSG00000229918,DOCK9-AS1,"DOCK9 antisense RNA 1 "
ENSG00000261530,BTC,"betacellulin "
ENSG00000221324,AL590787.1,""
ENSG00000260509,RP11-271M24.2,""
ENSG00000231981,RPL7L1P12,"ribosomal protein L7-like 1 pseudogene 12 "
ENSG00000234152,TCEB2P1,"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) pseudogene 1 "
ENSG00000265546,RN7SL289P,"RNA, 7SL, cytoplasmic 289, pseudogene "
ENSG00000260666,AC142293.3,""
ENSG00000207298,RNU6-83P,"RNA, U6 small nuclear 83, pseudogene "
ENSG00000199767,RNU6-78P,"RNA, U6 small nuclear 78, pseudogene "
ENSG00000260992,DOCK9-AS2,"DOCK9 antisense RNA 2 (head to head) "
ENSG00000180803,RP11-467D10.2,""
ENSG00000230871,RPS6P23,"ribosomal protein S6 pseudogene 23 "
ENSG00000242381,RN7SL741P,"RNA, 7SL, cytoplasmic 741, pseudogene "
ENSG00000260334,GAST,"gastrin "
ENSG00000223158,RNY1P3,"RNA, Ro-associated Y1 pseudogene 3 "
ENSG00000231983,LINC00415,"long intergenic non-protein coding RNA 415 "
ENSG00000234005,GAPDHP22,"glyceraldehyde 3 phosphate dehydrogenase pseudogene 22 "
ENSG00000228889,UBAC2-AS1,"UBAC2 antisense RNA 1 "
ENSG00000233963,ATP8A2P3,"ATPase, aminophospholipid transporter, class I, type 8A, member 2 pseudogene 3 "
ENSG00000201793,RN7SKP9,"RNA, 7SK small nuclear pseudogene 9 "
ENSG00000218502,H2AFZP3,"H2A histone family, member Z pseudogene 3 "
ENSG00000207719,MIR623,"microRNA 623 "
ENSG00000234706,PRUNEP1,"prune exopolyphosphatase pseudogene 1 "
ENSG00000228808,HMGB3P4,"high mobility group box 3 pseudogene 4 "
ENSG00000271559,RP11-380N8.6,""
ENSG00000238241,CCR12P,"chemokine (C-C motif) receptor 12, pseudogene "
ENSG00000227882,PRKRIRP6,"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) pseudogene 6 "
ENSG00000266207,AL583784.1,""
ENSG00000203441,LINC00449,"long intergenic non-protein coding RNA 449 "
ENSG00000234031,RPS3AP44,"ribosomal protein S3a pseudogene 44 "
ENSG00000212197,RNY3P6,"RNA, Ro-associated Y3 pseudogene 6 "
ENSG00000234168,LINC01039,"long intergenic non-protein coding RNA 1039 "
ENSG00000237001,WASF3-AS1,"WASF3 antisense RNA 1 "
ENSG00000234239,CFL1P8,"cofilin 1 (non-muscle) pseudogene 8 "
ENSG00000230256,FGFR1OP2P1,"FGFR1 oncogene partner 2 pseudogene 1 "
ENSG00000223782,RPS21P8,"ribosomal protein S21 pseudogene 8 "
ENSG00000263615,MIR4306,"microRNA 4306 "
ENSG00000218198,RPS20P32,"ribosomal protein S20 pseudogene 32 "
ENSG00000227659,CLYBL-AS2,"CLYBL antisense RNA 2 "
ENSG00000232162,USP12-AS1,"USP12 antisense RNA 1 "
ENSG00000234303,CLYBL-AS1,"CLYBL antisense RNA 1 "
ENSG00000230641,USP12-AS2,"USP12 antisense RNA 2 (head to head) "
ENSG00000234772,LINC00412,"long intergenic non-protein coding RNA 412 "
ENSG00000201245,SNORA25,"Small nucleolar RNA SNORA25 "
ENSG00000238305,snoU13,"Small nucleolar RNA U13 "
ENSG00000207500,SNORD102,"small nucleolar RNA, C/D box 102 "
ENSG00000260738,LINC00554,"long intergenic non-protein coding RNA 554 "
ENSG00000207051,SNORA27,"small nucleolar RNA, H/ACA box 27 "
ENSG00000221756,AL159977.1,""
ENSG00000225999,NDUFA12P1,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12 pseudogene 1 "
ENSG00000252247,RNU6-70P,"RNA, U6 small nuclear 70, pseudogene "
ENSG00000229609,LINC01079,"long intergenic non-protein coding RNA 1079 "
ENSG00000236554,ASNSP3,"asparagine synthetase pseudogene 3 "
ENSG00000201242,RNY1P1,"RNA, Ro-associated Y1 pseudogene 1 "
ENSG00000203602,AL137059.1,""
ENSG00000252499,RNU6-63P,"RNA, U6 small nuclear 63, pseudogene "
ENSG00000228501,RPL15P18,"ribosomal protein L15 pseudogene 18 "
ENSG00000226703,NPM1P4,"nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 4 "
ENSG00000261125,HAP1,"huntingtin-associated protein 1 "
ENSG00000270632,RP11-340C20.3,""
ENSG00000207330,RNU6-73P,"RNA, U6 small nuclear 73, pseudogene "
ENSG00000234650,PCCA-AS1,"PCCA antisense RNA 1 "
ENSG00000247381,PDX1-AS1,"PDX1 antisense RNA 1 "
ENSG00000260704,LINC00543,"long intergenic non-protein coding RNA 543 "
ENSG00000242360,RN7SL272P,"RNA, 7SL, cytoplasmic 272, pseudogene "
ENSG00000224356,RP11-151A6.4,""
ENSG00000271026,KATNBL1P1,"katanin p80 subunit B-like 1 pseudogene 1 "
ENSG00000235115,CHCHD2P8,"coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 8 "
ENSG00000234354,RPS26P47,"ribosomal protein S26 pseudogene 47 "
ENSG00000261485,PAN3-AS1,"PAN3 antisense RNA 1 "
ENSG00000237082,COX5BP6,"cytochrome c oxidase subunit Vb pseudogene 6 "
ENSG00000232587,EEF1A1P3,"eukaryotic translation elongation factor 1 alpha 1 pseudogene 3 "
ENSG00000200840,RNU6-82P,"RNA, U6 small nuclear 82, pseudogene "
ENSG00000233009,NALCN-AS1,"NALCN antisense RNA 1 "
ENSG00000235472,EIF4A1P7,"eukaryotic translation initiation factor 4A1 pseudogene 7 "
ENSG00000202237,RNU6-53P,"RNA, U6 small nuclear 53, pseudogene "
ENSG00000214051,ARF4P3,"ADP-ribosylation factor 4 pseudogene 3 "
ENSG00000233588,CYP51A1P2,"cytochrome P450, family 51, subfamily A, polypeptide 1 pseudogene 2 "
ENSG00000229599,LINC00411,"long intergenic non-protein coding RNA 411 "
ENSG00000236339,POM121L13P,"POM121 transmembrane nucleoporin-like 13, pseudogene "
ENSG00000272349,RP11-397O8.7,""
ENSG00000221670,AL596092.1,""
ENSG00000201155,RNU1-24P,"RNA, U1 small nuclear 24, pseudogene "
ENSG00000236758,MTUS2-AS2,"MTUS2 antisense RNA 2 "
ENSG00000215399,HMGB3P7,"high mobility group box 3 pseudogene 7 "
ENSG00000265164,MIR2681,"microRNA 2681 "
ENSG00000223460,GAPDHP69,"glyceraldehyde 3 phosphate dehydrogenase pseudogene 69 "
ENSG00000229975,LIPT1P1,"lipoyltransferase 1 pseudogene 1 "
ENSG00000270680,RP11-351N4.4,""
ENSG00000201690,RNY1P2,"RNA, Ro-associated Y1 pseudogene 2 "
ENSG00000179141,MTUS2-AS1,"MTUS2 antisense RNA 1 "
ENSG00000264482,MIR4705,"microRNA 4705 "
ENSG00000236860,RPL39P29,"ribosomal protein L39 pseudogene 29 "
ENSG00000236258,TIMM8BP1,"translocase of inner mitochondrial membrane 8B pseudogene 1 "
ENSG00000224329,LINC00297,"long intergenic non-protein coding RNA 297 "
ENSG00000243319,FGF14-IT1,"FGF14 intronic transcript 1 (non-protein coding) "
ENSG00000224405,LINC00572,"long intergenic non-protein coding RNA 572 "
ENSG00000234445,FGF14-AS1,"FGF14 antisense RNA 1 "
ENSG00000122043,LINC00544,"long intergenic non-protein coding RNA 544 "
ENSG00000272143,FGF14-AS2,"FGF14 antisense RNA 2 "
ENSG00000266505,RP11-629E24.2,""
ENSG00000270581,RP11-811P12.3,""
ENSG00000261057,LINC00555,"long intergenic non-protein coding RNA 555 "
ENSG00000224511,LINC00365,"long intergenic non-protein coding RNA 365 "
ENSG00000269942,RP11-29B2.5,""
ENSG00000232117,LINC00384,"long intergenic non-protein coding RNA 384 "
ENSG00000238869,snoU13,"Small nucleolar RNA U13 "
ENSG00000231633,LINC00283,"long intergenic non-protein coding RNA 283 "
ENSG00000232643,LINC00385,"long intergenic non-protein coding RNA 385 "
ENSG00000222301,RNY5P8,"RNA, Ro-associated Y5 pseudogene 8 "
ENSG00000266816,AL356750.1,""
ENSG00000252928,RNU6-64P,"RNA, U6 small nuclear 64, pseudogene "
ENSG00000250878,METTL21EP,"methyltransferase like 21E, pseudogene "
ENSG00000215049,PRDX2P1,"peroxiredoxin 2 pseudogene 1 "
ENSG00000272542,RP11-255P5.2,""
ENSG00000236463,LINC00427,"long intergenic non-protein coding RNA 427 "
ENSG00000234551,RP11-123H22.1,""
ENSG00000230474,ATP6V1G1P7,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1 pseudogene 7 "
ENSG00000225823,RPL7P45,"ribosomal protein L7 pseudogene 45 "
ENSG00000232307,DAOA-AS1,"DAOA antisense RNA 1 "
ENSG00000238121,LINC00426,"long intergenic non-protein coding RNA 426 "
ENSG00000226620,LINC00343,"long intergenic non-protein coding RNA 343 "
ENSG00000225039,LINC01058,"long intergenic non-protein coding RNA 1058 "
ENSG00000261577,JUP,"junction plakoglobin "
ENSG00000252550,SNORA25,"Small nucleolar RNA SNORA25 "
ENSG00000236444,UBE2L5P,"ubiquitin-conjugating enzyme E2L 5 (pseudogene) "
ENSG00000222643,AL603632.1,""
ENSG00000222682,RNA5SP38,"RNA, 5S ribosomal pseudogene 38 "
ENSG00000213411,RBM22P2,"RNA binding motif protein 22 pseudogene 2 "
ENSG00000233532,LINC00460,"long intergenic non-protein coding RNA 460 "
ENSG00000232489,MFAP1P1,"microfibrillar-associated protein 1 pseudogene 1 "
ENSG00000174418,RPL35P9,"ribosomal protein L35 pseudogene 9 "
ENSG00000224117,PTPN2P2,"protein tyrosine phosphatase, non-receptor type 2 pseudogene 2 "
ENSG00000272274,LINC00551,"long intergenic non-protein coding RNA 551 "
ENSG00000230156,LINC00443,"long intergenic non-protein coding RNA 443 "
ENSG00000237879,LINC00398,"long intergenic non-protein coding RNA 398 "
ENSG00000227590,ATP5G1P5,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9) pseudogene 5 "
ENSG00000174408,PPIAP24,"peptidylprolyl isomerase A (cyclophilin A) pseudogene 24 "
ENSG00000224743,TEX26-AS1,"TEX26 antisense RNA 1 "
ENSG00000196777,AL162574.1,""
ENSG00000239050,AL354741.1,""
ENSG00000221316,AL445204.1,""
ENSG00000201847,SNORD31,"Small nucleolar RNA SNORD31 "
ENSG00000221650,MIR1267,"microRNA 1267 "
ENSG00000221473,AL138710.1,""
ENSG00000227248,FAM155A-IT1,"FAM155A intronic transcript 1 (non-protein coding) "
ENSG00000223177,RNA5SP39,"RNA, 5S ribosomal pseudogene 39 "
ENSG00000232087,HCFC2P1,"host cell factor C2 pseudogene 1 "
ENSG00000229938,MYO16-AS2,"MYO16 antisense RNA 2 "
ENSG00000236094,LINC00545,"long intergenic non-protein coding RNA 545 "
ENSG00000236242,MYO16-AS1,"MYO16 antisense RNA 1 "
ENSG00000238185,RP11-252M21.6,""
ENSG00000223617,LINC00370,"long intergenic non-protein coding RNA 370 "
ENSG00000230233,AF240627.2,""
ENSG00000230403,LINC01066,"long intergenic non-protein coding RNA 1066 "
ENSG00000236053,LINC01067,"long intergenic non-protein coding RNA 1067 "
ENSG00000261163,LEPREL4,"cDNA FLJ53481, highly similar to Nucleolar autoantigen No55  "
ENSG00000265841,MIR548X,"microRNA 548x "
ENSG00000231894,WDR95P,"WD40 repeat domain 95, pseudogene "
ENSG00000229792,LINC00399,"long intergenic non-protein coding RNA 399 "
ENSG00000221041,AP001537.1,""
ENSG00000234854,LINC00676,"long intergenic non-protein coding RNA 676 "
ENSG00000198618,PPIAP22,"peptidylprolyl isomerase A (cyclophilin A) pseudogene 22 "
ENSG00000229427,ANKRD26P4,"ankyrin repeat domain 26 pseudogene 4 "
ENSG00000255813,AL162497.1,""
ENSG00000201161,RN7SKP10,"RNA, 7SK small nuclear pseudogene 10 "
ENSG00000231428,LINC00396,"long intergenic non-protein coding RNA 396 "
ENSG00000232193,AL157359.4,""
ENSG00000229715,EEF1DP3,"eukaryotic translation elongation factor 1 delta pseudogene 3 "
ENSG00000226204,AL157359.3,""
ENSG00000265885,RN7SL783P,"RNA, 7SL, cytoplasmic 783, pseudogene "
ENSG00000238629,snoU13,"Small nucleolar RNA U13 "
ENSG00000235965,AP000431.1,""
ENSG00000224821,COL4A2-AS2,"COL4A2 antisense RNA 2 "
ENSG00000235822,LINC01073,"long intergenic non-protein coding RNA 1073 "
ENSG00000229289,AP000431.2,""
ENSG00000237637,FRY-AS1,"FRY antisense RNA 1 "
ENSG00000232814,COL4A2-AS1,"COL4A2 antisense RNA 1 "
ENSG00000226818,SLC6A6P1,"solute carrier family 6, member 6 pseudogene 1 "
ENSG00000230633,RP11-37E23.5,""
ENSG00000255831,AL139385.1,""
ENSG00000231620,AP000855.4,""
ENSG00000215515,IFIT1P1,"interferon-induced protein with tetratricopeptide repeats 1 pseudogene 1 "
ENSG00000225239,RPL21P107,"ribosomal protein L21 pseudogene 107 "
ENSG00000212609,RNU1-139P,"RNA, U1 small nuclear 139, pseudogene "
ENSG00000259831,LINC00567,"long intergenic non-protein coding RNA 567 "
ENSG00000212293,SNORA16,"Small nucleolar RNA SNORA16B/SNORA16A family "
ENSG00000230198,RPL37P4,"ribosomal protein L37 pseudogene 4 "
ENSG00000270008,RP11-298P3.4,""
ENSG00000229152,ANKRD10-IT1,"ANKRD10 intronic transcript 1 (non-protein coding) "
ENSG00000271486,AP000403.3,""
ENSG00000229336,AP000568.2,""
ENSG00000229800,ATP8A2P2,"ATPase, aminophospholipid transporter, class I, type 8A, member 2 pseudogene 2 "
ENSG00000227105,PARP1P1,"poly (ADP-ribose) polymerase family, member 1 pseudogene 1 "
ENSG00000215353,C1QBPP,"complement component 1, q subcomponent binding protein, pseudogene "
ENSG00000233480,AP000946.2,""
ENSG00000225760,LINC00431,"long intergenic non-protein coding RNA 431 "
ENSG00000233236,AP001171.1,""
ENSG00000225870,LINC00368,"long intergenic non-protein coding RNA 368 "
ENSG00000251851,RNU6-772P,"RNA, U6 small nuclear 772, pseudogene "
ENSG00000252963,RN7SKP147,"RNA, 7SK small nuclear pseudogene 147 "
ENSG00000235875,ARHGEF7-AS2,"ARHGEF7 antisense RNA 2 "
ENSG00000207325,RNY1P4,"RNA, Ro-associated Y1 pseudogene 4 "
ENSG00000233676,FDPSP6,"farnesyl diphosphate synthase pseudogene 6 "
ENSG00000226968,LINC00423,"long intergenic non-protein coding RNA 423 "
ENSG00000233644,ARHGEF7-IT1,"ARHGEF7 intronic transcript 1 (non-protein coding) "
ENSG00000234439,KRT18P2,"keratin 18 pseudogene 2 "
ENSG00000227352,ARHGEF7-AS1,"ARHGEF7 antisense RNA 1 "
ENSG00000227604,TOMM22P3,"translocase of outer mitochondrial membrane 22 homolog (yeast) pseudogene 3 "
ENSG00000233206,RPS3AP1,"ribosomal protein S3A pseudogene 1 "
ENSG00000221677,AL161898.1,""
ENSG00000215881,RP11-65D24.1,""
ENSG00000230300,STARD13-IT1,"STARD13 intronic transcript 1 (non-protein coding) "
ENSG00000261258,FKBP10,"FK506 binding protein 10, 65 kDa "
ENSG00000226903,LINC00354,"long intergenic non-protein coding RNA 354 "
ENSG00000224924,LINC00320,"long intergenic non-protein coding RNA 320 "
ENSG00000264989,AL136302.1,""
ENSG00000200072,SNORD44,"Small nucleolar RNA SNORD44 "
ENSG00000260385,RP11-450H6.3,""
ENSG00000229520,LINC00404,"long intergenic non-protein coding RNA 404 "
ENSG00000215351,PPIAP1,"peptidylprolyl isomerase A (cyclophilin A), pseudogene 1 "
ENSG00000224243,LINC00403,"long intergenic non-protein coding RNA 403 "
ENSG00000226771,AP001136.2,""
ENSG00000260102,LINC01070,"long intergenic non-protein coding RNA 1070 "
ENSG00000221210,AP001137.1,""
ENSG00000234730,AF241725.4,""
ENSG00000260343,LINC01043,"long intergenic non-protein coding RNA 1043 "
ENSG00000198434,AF241725.1,""
ENSG00000223626,LINC01044,"long intergenic non-protein coding RNA 1044 "
ENSG00000237527,AF241725.6,""
ENSG00000264726,AL162711.1,""
ENSG00000232684,ATP11A-AS1,"ATP11A antisense RNA 1 "
ENSG00000238265,LINC00317,"long intergenic non-protein coding RNA 317 "
ENSG00000234603,AL356740.1,""
ENSG00000236581,STARD13-AS,"STARD13 antisense RNA "
ENSG00000267868,RP11-120K24.3,""
ENSG00000188403,IGHV1OR15-9,"immunoglobulin heavy variable 1/OR15-9 (non-functional) "
ENSG00000235280,MCF2L-AS1,"MCF2L antisense RNA 1 "
ENSG00000269356,RP11-120K24.4,""
ENSG00000233997,AP000475.2,""
ENSG00000269376,RP11-120K24.5,""
ENSG00000231882,F10-AS1,"F10 antisense RNA 1 "
ENSG00000230371,KARSP2,"lysyl-tRNA synthetase pseudogene 2 "
ENSG00000259490,IGHV3OR15-7,"immunoglobulin heavy variable 3/OR15-7 (pseudogene) "
ENSG00000269125,RP11-98F14.11,""
ENSG00000227075,AP000472.3,""
ENSG00000232662,LDHBP1,"lactate dehydrogenase B pseudogene 1 "
ENSG00000270961,IGHD5OR15-5A,"immunoglobulin heavy diversity 5/OR15-5A (non-functional) "
ENSG00000225083,GRTP1-AS1,"GRTP1 antisense RNA 1 "
ENSG00000233215,AP000472.2,""
ENSG00000233613,DCUN1D2-AS,"DCUN1D2 antisense RNA "
ENSG00000271317,IGHD4OR15-4A,"immunoglobulin heavy diversity 4/OR15-4A (non-functional) "
ENSG00000202347,RNU1-16P,"RNA, U1 small nuclear 16, pseudogene "
ENSG00000227208,LINC00552,"long intergenic non-protein coding RNA 552 "
ENSG00000270783,IGHD3OR15-3A,"immunoglobulin heavy diversity 3/OR15-3A (non-functional) "
ENSG00000233695,GAS6-AS1,"GAS6 antisense RNA 1 "
ENSG00000271197,IGHD2OR15-2A,"immunoglobulin heavy diversity 2/OR15-2A (non-functional) "
ENSG00000272695,GAS6-AS2,"GAS6 antisense RNA 2 (head to head) "
ENSG00000184856,LINC00308,"long intergenic non-protein coding RNA 308 "
ENSG00000227911,RP11-141M1.1,""
ENSG00000237699,RP11-199F6.4,""
ENSG00000271336,IGHD1OR15-1A,"immunoglobulin heavy diversity 1/OR15-1A (non-functional) "
ENSG00000264288,AL138999.1,""
ENSG00000265259,RN7SL247P,"RNA, 7SL, cytoplasmic 247, pseudogene "
ENSG00000260753,NT5C3B,"5'-nucleotidase, cytosolic IIIB "
ENSG00000234340,AP000705.8,""
ENSG00000230490,RP11-141M1.3,""
ENSG00000212051,MIR320C2,"microRNA 320c-2 "
ENSG00000226921,LINC00454,"long intergenic non-protein coding RNA 454 "
ENSG00000264365,RP11-621L6.2,""
ENSG00000273321,RP11-621L6.3,""
ENSG00000234535,RP11-37L2.1,""
ENSG00000232986,RP11-179A7.2,""
ENSG00000199636,Y_RNA,"Y RNA "
ENSG00000265094,RP11-178F10.1,""
ENSG00000252397,RNU5A-4P,"RNA, U5A small nuclear 4, pseudogene "
ENSG00000263663,AL161891.1,""
ENSG00000227254,VDAC1P12,"voltage-dependent anion channel 1 pseudogene 12 "
ENSG00000229373,LINC00452,"long intergenic non-protein coding RNA 452 "
ENSG00000199196,SNORA25,"Small nucleolar RNA SNORA25 "
ENSG00000215405,GOLGA6L6,"golgin A6 family-like 6 "
ENSG00000271850,RP11-16D22.2,""
ENSG00000225179,LINC00457,"long intergenic non-protein coding RNA 457 "
ENSG00000231136,AP000705.6,""
ENSG00000260910,LINC00565,"long intergenic non-protein coding RNA 565 "
ENSG00000271901,RP11-266E6.3,""
ENSG00000202339,RNU4-45P,"RNA, U4 small nuclear 45, pseudogene "
ENSG00000232487,RASA3-IT1,"RASA3 intronic transcript 1 (non-protein coding) "
ENSG00000226043,AP000705.7,""
ENSG00000231910,GAMTP2,"guanidinoacetate N-methyltransferase pseudogene 2 "
ENSG00000264539,MIR548AR,"microRNA 548ar "
ENSG00000261728,RP11-307O13.1,""
ENSG00000223488,MAPK6PS2,"mitogen-activated protein kinase 6 pseudogene 2 "
ENSG00000265450,MIR4502,"microRNA 4502 "
ENSG00000232795,SCAND3P1,"SCAN domain containing 3 pseudogene 1 "
ENSG00000226158,CLCP2,"Charcot-Leyden crystal protein pseudogene 2 "
ENSG00000234835,PHBP13,"prohibitin pseudogene 13 "
ENSG00000229723,LINC01054,"long intergenic non-protein coding RNA 1054 "
ENSG00000268343,AC012414.1,"Uncharacterized protein  "
ENSG00000221519,AL390071.1,""
ENSG00000236036,LINC00445,"long intergenic non-protein coding RNA 445 "
ENSG00000207203,RNU6-71P,"RNA, U6 small nuclear 71, pseudogene "
ENSG00000169861,IGHV1OR21-1,"immunoglobulin heavy variable 1/OR21-1 (non-functional) "
ENSG00000266047,AL139377.1,""
ENSG00000223383,HIST1H2APS6,"histone cluster 1, H2a, pseudogene 6 "
ENSG00000222602,AL136160.1,""
