"ENSG00000215405","NM_001145004","GOLGA6L6"
"ENSG00000185231","NM_000529","MC2R"
"ENSG00000103642","NM_032857","LACTB"
"ENSG00000103642","NM_171846","LACTB"
"ENSG00000103642","NM_001288585","LACTB"
"ENSG00000175322","NM_145287","ZNF519"
"ENSG00000101160","NM_001336","CTSZ"
"ENSG00000197299","NM_000057","BLM"
"ENSG00000197299","NM_001287246","BLM"
"ENSG00000154719","NM_017446","MRPL39"
"ENSG00000197299","NM_001287247","BLM"
"ENSG00000154719","NM_080794","MRPL39"
"ENSG00000197299","NM_001287248","BLM"
"ENSG00000022277","NM_016407","RTFDC1"
"ENSG00000022277","NM_001283036","RTFDC1"
"ENSG00000022277","NM_001283037","RTFDC1"
"ENSG00000166145","NM_003710","SPINT1"
"ENSG00000166145","NM_181642","SPINT1"
"ENSG00000022277","NM_001283035","RTFDC1"
"ENSG00000101162","NM_030773","TUBB1"
"ENSG00000166145","NM_001032367","SPINT1"
"ENSG00000140285","NM_002009","FGF7"
"ENSG00000088881","NM_001110514","EBF4"
"ENSG00000266996","NM_001242907","TCEB3CL2"
"ENSG00000234298","NM_001100817","TCEB3CL"
"ENSG00000124172","NM_006886","ATP5E"
"ENSG00000183206","NM_001137671","POTEC"
"ENSG00000101457","NM_052951","DNTTIP1"
"ENSG00000185088","NM_015920","RPS27L"
"ENSG00000183791","NM_145653","TCEB3C"
"ENSG00000154721","NM_001270408","JAM2"
"ENSG00000154721","NM_001270407","JAM2"
"ENSG00000154721","NM_021219","JAM2"
"ENSG00000206181","NM_016427","TCEB3B"
"ENSG00000170122","NM_207305","FOXD4"
"ENSG00000166128","NM_016530","RAB8B"
"ENSG00000124091","NM_080615","GCNT7"
"ENSG00000175063","NM_007019","UBE2C"
"ENSG00000175063","NM_181799","UBE2C"
"ENSG00000101166","NM_016045","SLMO2"
"ENSG00000175063","NM_181803","UBE2C"
"ENSG00000101166","NM_001256403","SLMO2"
"ENSG00000175063","NM_181800","UBE2C"
"ENSG00000175063","NM_181801","UBE2C"
"ENSG00000167220","NM_032124","HDHD2"
"ENSG00000175063","NM_181802","UBE2C"
"ENSG00000171448","NM_020924","ZBTB26"
"ENSG00000124103","NM_001012971","FAM209A"
"ENSG00000213714","NM_001013646","FAM209B"
"ENSG00000104047","NM_001144955","DTWD1"
"ENSG00000154723","NM_001003697","ATP5J"
"ENSG00000154723","NM_001003696","ATP5J"
"ENSG00000154723","NM_001003703","ATP5J"
"ENSG00000154723","NM_001685","ATP5J"
"ENSG00000154723","NM_001003701","ATP5J"
"ENSG00000104140","NM_133639","RHOV"
"ENSG00000088882","NM_001184699","CPXM1"
"ENSG00000088882","NM_019609","CPXM1"
"ENSG00000104047","NM_020234","DTWD1"
"ENSG00000140564","NM_002569","FURIN"
"ENSG00000140157","NM_030922","NIPA2"
"ENSG00000140157","NM_001008892","NIPA2"
"ENSG00000140157","NM_001008894","NIPA2"
"ENSG00000140157","NM_001184888","NIPA2"
"ENSG00000087510","NM_003222","TFAP2C"
"ENSG00000140157","NM_001008860","NIPA2"
"ENSG00000124203","NM_178457","ZNF831"
"ENSG00000154727","NM_001197297","GABPA"
"ENSG00000104142","NM_020857","VPS18"
"ENSG00000154727","NM_002040","GABPA"
"ENSG00000101470","NM_003279","TNNC2"
"ENSG00000134049","NM_016097","IER3IP1"
"ENSG00000138613","NM_031301","APH1B"
"ENSG00000138613","NM_001145646","APH1B"
"ENSG00000128917","NM_019074","DLL4"
"ENSG00000124205","NM_207034","EDN3"
"ENSG00000124205","NM_207032","EDN3"
"ENSG00000198326","NM_001167670","TMEM239"
"ENSG00000124205","NM_207033","EDN3"
"ENSG00000124205","NM_000114","EDN3"
"ENSG00000011454","NM_012197","RABGAP1"
"ENSG00000258713","NM_001256538","C20orf141"
"ENSG00000215474","NM_001278063","SKOR2"
"ENSG00000258713","NM_080739","C20orf141"
"ENSG00000215474","NM_001037802","SKOR2"
"ENSG00000188394","NM_005294","GPR21"
"ENSG00000101144","NM_001719","BMP7"
"ENSG00000180777","NM_001145029","ANKRD30B"
"ENSG00000132635","NM_022760","PCED1A"
"ENSG00000132635","NM_001271168","PCED1A"
"ENSG00000175387","NM_005901","SMAD2"
"ENSG00000175387","NM_001003652","SMAD2"
"ENSG00000172785","NM_018491","CBWD1"
"ENSG00000170113","NM_144599","NIPA1"
"ENSG00000170113","NM_001142275","NIPA1"
"ENSG00000175387","NM_001135937","SMAD2"
"ENSG00000172785","NM_001145356","CBWD1"
"ENSG00000054796","NM_012444","SPO11"
"ENSG00000054796","NM_198265","SPO11"
"ENSG00000172785","NM_001145355","CBWD1"
"ENSG00000182511","NM_002005","FES"
"ENSG00000074410","NM_001218","CA12"
"ENSG00000165209","NM_018387","STRBP"
"ENSG00000182511","NM_001143785","FES"
"ENSG00000165209","NM_001171137","STRBP"
"ENSG00000074410","NM_206925","CA12"
"ENSG00000183784","NM_152569","C9orf66"
"ENSG00000104043","NM_024837","ATP8B4"
"ENSG00000182511","NM_001143783","FES"
"ENSG00000182511","NM_001143784","FES"
"ENSG00000087495","NM_001199505","PHACTR3"
"ENSG00000128965","NM_024111","CHAC1"
"ENSG00000128965","NM_001142776","CHAC1"
"ENSG00000087495","NM_080672","PHACTR3"
"ENSG00000087495","NM_001199506","PHACTR3"
"ENSG00000087495","NM_183244","PHACTR3"
"ENSG00000087495","NM_183246","PHACTR3"
"ENSG00000067900","NM_005406","ROCK1"
"ENSG00000087495","NM_001281507","PHACTR3"
"ENSG00000124104","NM_001042633","SNX21"
"ENSG00000124104","NM_152897","SNX21"
"ENSG00000124104","NM_033421","SNX21"
"ENSG00000124104","NM_001042632","SNX21"
"ENSG00000148204","NM_173689","CRB2"
"ENSG00000101146","NM_003610","RAE1"
"ENSG00000101146","NM_001015885","RAE1"
"ENSG00000215305","NM_022575","VPS16"
"ENSG00000215305","NM_080413","VPS16"
"ENSG00000101473","NM_005469","ACOT8"
"ENSG00000140284","NM_003645","SLC27A2"
"ENSG00000140284","NM_001159629","SLC27A2"
"ENSG00000198033","NM_006001","TUBA3C"
"ENSG00000128908","NM_017553","INO80"
"ENSG00000256222","NM_001190472","MTRNR2L3"
"ENSG00000142192","NM_000484","APP"
"ENSG00000142192","NM_001136129","APP"
"ENSG00000142192","NM_001204303","APP"
"ENSG00000142192","NM_201414","APP"
"ENSG00000142192","NM_201413","APP"
"ENSG00000142192","NM_001136016","APP"
"ENSG00000132819","NM_017495","RBM38"
"ENSG00000142192","NM_001136130","APP"
"ENSG00000132819","NM_183425","RBM38"
"ENSG00000142192","NM_001204302","APP"
"ENSG00000142192","NM_001204301","APP"
"ENSG00000142192","NM_001136131","APP"
"ENSG00000166265","NM_052954","CYYR1"
"ENSG00000119522","NM_020946","DENND1A"
"ENSG00000119522","NM_024820","DENND1A"
"ENSG00000140287","NM_002112","HDC"
"ENSG00000141449","NM_001142966","GREB1L"
"ENSG00000184828","NM_001039360","ZBTB7C"
"ENSG00000132958","NM_130785","TPTE2"
"ENSG00000132958","NM_001141968","TPTE2"
"ENSG00000132958","NM_199254","TPTE2"
"ENSG00000107099","NM_001190458","DOCK8"
"ENSG00000107099","NM_001193536","DOCK8"
"ENSG00000154734","NM_006988","ADAMTS1"
"ENSG00000106689","NM_004789","LHX2"
"ENSG00000140455","NM_006537","USP3"
"ENSG00000107099","NM_203447","DOCK8"
"ENSG00000154736","NM_007038","ADAMTS5"
"ENSG00000140455","NM_001256702","USP3"
"ENSG00000178997","NM_152596","EXD1"
"ENSG00000196199","NM_017520","MPHOSPH8"
"ENSG00000178997","NM_001286441","EXD1"
"ENSG00000196074","NM_014258","SYCP2"
"ENSG00000156239","NM_013240","N6AMT1"
"ENSG00000156239","NM_182749","N6AMT1"
"ENSG00000107104","NM_001256876","KANK1"
"ENSG00000121390","NM_001042414","PSPC1"
"ENSG00000107104","NM_001256877","KANK1"
"ENSG00000107104","NM_015158","KANK1"
"ENSG00000107104","NM_153186","KANK1"
"ENSG00000119408","NM_001145001","NEK6"
"ENSG00000179455","NM_005664","MKRN3"
"ENSG00000137090","NM_021951","DMRT1"
"ENSG00000119408","NM_014397","NEK6"
"ENSG00000119408","NM_001166167","NEK6"
"ENSG00000119408","NM_001166169","NEK6"
"ENSG00000119408","NM_001166171","NEK6"
"ENSG00000119408","NM_001166168","NEK6"
"ENSG00000119408","NM_001166170","NEK6"
"ENSG00000064218","NM_021240","DMRT3"
"ENSG00000134030","NM_014772","CTIF"
"ENSG00000196547","NM_006122","MAN2A2"
"ENSG00000128322","NM_152855","IGLL1"
"ENSG00000134030","NM_001142397","CTIF"
"ENSG00000128322","NM_020070","IGLL1"
"ENSG00000104064","NM_005254","GABPB1"
"ENSG00000104064","NM_016654","GABPB1"
"ENSG00000254585","NM_019066","MAGEL2"
"ENSG00000182636","NM_002487","NDN"
"ENSG00000132950","NM_001039649","ZMYM5"
"ENSG00000132801","NM_080752","ZSWIM3"
"ENSG00000132950","NM_001039650","ZMYM5"
"ENSG00000104064","NM_002041","GABPB1"
"ENSG00000132950","NM_001142684","ZMYM5"
"ENSG00000104064","NM_016655","GABPB1"
"ENSG00000185823","NM_018958","NPAP1"
"ENSG00000168612","NM_080603","ZSWIM1"
"ENSG00000104064","NM_181427","GABPB1"
"ENSG00000173253","NM_001130865","DMRT2"
"ENSG00000173253","NM_006557","DMRT2"
"ENSG00000149634","NM_080608","SPATA25"
"ENSG00000136930","NM_002799","PSMB7"
"ENSG00000173253","NM_181872","DMRT2"
"ENSG00000124257","NM_001278535","NEURL2"
"ENSG00000124257","NM_080749","NEURL2"
"ENSG00000187446","NM_007236","CHP1"
"ENSG00000198862","NM_015565","LTN1"
"ENSG00000104147","NM_007280","OIP5"
"ENSG00000180264","NM_001161808","GPR144"
"ENSG00000124092","NM_001269043","CTCFL"
"ENSG00000189269","NM_016449","C22orf43"
"ENSG00000124092","NM_001269041","CTCFL"
"ENSG00000124092","NM_080618","CTCFL"
"ENSG00000124092","NM_001269046","CTCFL"
"ENSG00000124092","NM_001269042","CTCFL"
"ENSG00000124092","NM_001269040","CTCFL"
"ENSG00000124092","NM_001269044","CTCFL"
"ENSG00000136931","NM_004959","NR5A1"
"ENSG00000156253","NM_016940","RWDD2B"
"ENSG00000196227","NM_001190826","FAM217B"
"ENSG00000101665","NM_001190821","SMAD7"
"ENSG00000101665","NM_005904","SMAD7"
"ENSG00000196227","NM_001190827","FAM217B"
"ENSG00000196227","NM_022106","FAM217B"
"ENSG00000124092","NM_001269054","CTCFL"
"ENSG00000101665","NM_001190822","SMAD7"
"ENSG00000124092","NM_001269049","CTCFL"
"ENSG00000124092","NM_001269048","CTCFL"
"ENSG00000124092","NM_001269050","CTCFL"
"ENSG00000124092","NM_001269055","CTCFL"
"ENSG00000132825","NM_006242","PPP1R3D"
"ENSG00000124092","NM_001269047","CTCFL"
"ENSG00000124092","NM_001269045","CTCFL"
"ENSG00000124092","NM_001269052","CTCFL"
"ENSG00000124092","NM_001269051","CTCFL"
"ENSG00000128739","NM_022807","SNRPN"
"ENSG00000128739","NM_022805","SNRPN"
"ENSG00000148200","NM_001489","NR6A1"
"ENSG00000148200","NM_033334","NR6A1"
"ENSG00000148200","NM_001278546","NR6A1"
"ENSG00000128739","NM_022806","SNRPN"
"ENSG00000128739","NM_022808","SNRPN"
"ENSG00000132670","NM_002836","PTPRA"
"ENSG00000159496","NM_153615","RGL4"
"ENSG00000132670","NM_080840","PTPRA"
"ENSG00000124215","NM_177980","CDH26"
"ENSG00000124215","NM_021810","CDH26"
"ENSG00000132670","NM_080841","PTPRA"
"ENSG00000185585","NM_182487","OLFML2A"
"ENSG00000185585","NM_001282715","OLFML2A"
"ENSG00000197361","NM_203373","FBXL22"
"ENSG00000141446","NM_052911","ESCO1"
"ENSG00000136918","NM_001045476","WDR38"
"ENSG00000136918","NM_001276375","WDR38"
"ENSG00000136918","NM_001276374","WDR38"
"ENSG00000136942","NM_007209","RPL35"
"ENSG00000064601","NM_000308","CTSA"
"ENSG00000064601","NM_001127695","CTSA"
"ENSG00000137804","NM_018454","NUSAP1"
"ENSG00000137804","NM_001243142","NUSAP1"
"ENSG00000137804","NM_016359","NUSAP1"
"ENSG00000137804","NM_001243143","NUSAP1"
"ENSG00000064601","NM_001167594","CTSA"
"ENSG00000176659","NM_173644","C20orf197"
"ENSG00000136950","NM_030978","ARPC5L"
"ENSG00000156256","NM_001001992","USP16"
"ENSG00000187792","NM_021916","ZNF70"
"ENSG00000156256","NM_006447","USP16"
"ENSG00000156256","NM_001032410","USP16"
"ENSG00000137804","NM_001243144","NUSAP1"
"ENSG00000167088","NM_006938","SNRPD1"
"ENSG00000128218","NM_013378","VPREB3"
"ENSG00000173281","NM_024607","PPP1R3B"
"ENSG00000173281","NM_001201329","PPP1R3B"
"ENSG00000169314","NM_182520","C22orf15"
"ENSG00000121741","NM_001190964","ZMYM2"
"ENSG00000179242","NM_001794","CDH4"
"ENSG00000179242","NM_001252339","CDH4"
"ENSG00000179242","NM_001252338","CDH4"
"ENSG00000080503","NM_003070","SMARCA2"
"ENSG00000136935","NM_002077","GOLGA1"
"ENSG00000080503","NM_139045","SMARCA2"
"ENSG00000158201","NM_138340","ABHD3"
"ENSG00000121741","NM_001190965","ZMYM2"
"ENSG00000121741","NM_003453","ZMYM2"
"ENSG00000121741","NM_197968","ZMYM2"
"ENSG00000250479","NM_213720","CHCHD10"
"ENSG00000138592","NM_001128610","USP8"
"ENSG00000138592","NM_005154","USP8"
"ENSG00000121743","NM_021954","GJA3"
"ENSG00000138592","NM_001283049","USP8"
"ENSG00000165474","NM_004004","GJB2"
"ENSG00000103657","NM_003922","HERC1"
"ENSG00000124253","NM_002591","PCK1"
"ENSG00000138592","NM_001128611","USP8"
"ENSG00000102309","NM_006223","PIN4"
"ENSG00000099953","NM_005940","MMP11"
"ENSG00000102309","NM_001170747","PIN4"
"ENSG00000141627","NM_017653","DYM"
"ENSG00000121742","NM_006783","GJB6"
"ENSG00000121742","NM_001110220","GJB6"
"ENSG00000121742","NM_001110221","GJB6"
"ENSG00000121742","NM_001110219","GJB6"
"ENSG00000186871","NM_017669","ERCC6L"
"ENSG00000273173","NM_022804","SNURF"
"ENSG00000130699","NM_003185","TAF4"
"ENSG00000173611","NM_001144877","SCAI"
"ENSG00000140553","NM_001039675","UNC45A"
"ENSG00000137806","NM_016013","NDUFAF1"
"ENSG00000173611","NM_173690","SCAI"
"ENSG00000273173","NM_005678","SNURF"
"ENSG00000273173","NM_003097","SNURF"
"ENSG00000035664","NM_014326","DAPK2"
"ENSG00000165475","NM_015974","CRYL1"
"ENSG00000140553","NM_018671","UNC45A"
"ENSG00000177576","NM_001199346","C18orf32"
"ENSG00000177576","NM_001035005","C18orf32"
"ENSG00000099956","NM_003073","SMARCB1"
"ENSG00000099956","NM_001007468","SMARCB1"
"ENSG00000173273","NM_003747","TNKS"
"ENSG00000198034","NM_001007","RPS4X"
"ENSG00000125787","NM_001501","GNRH2"
"ENSG00000156261","NM_006585","CCT8"
"ENSG00000125787","NM_178331","GNRH2"
"ENSG00000125787","NM_178332","GNRH2"
"ENSG00000119414","NM_002721","PPP6C"
"ENSG00000147852","NM_003383","VLDLR"
"ENSG00000156261","NM_001282907","CCT8"
"ENSG00000119414","NM_001123355","PPP6C"
"ENSG00000156261","NM_001282909","CCT8"
"ENSG00000119414","NM_001123369","PPP6C"
"ENSG00000147852","NM_001018056","VLDLR"
"ENSG00000137815","NM_015138","RTF1"
"ENSG00000124256","NM_001160417","ZBP1"
"ENSG00000124256","NM_030776","ZBP1"
"ENSG00000124256","NM_001160418","ZBP1"
"ENSG00000166797","NM_032231","FAM96A"
"ENSG00000166797","NM_001014812","FAM96A"
"ENSG00000124256","NM_001160419","ZBP1"
"ENSG00000168263","NM_133497","KCNV2"
"ENSG00000099958","NM_198440","DERL3"
"ENSG00000099958","NM_001002862","DERL3"
"ENSG00000099958","NM_001135751","DERL3"
"ENSG00000215472","NM_001199355","RPL17-C18orf32"
"ENSG00000125901","NM_030811","MRPS26"
"ENSG00000215472","NM_001199356","RPL17-C18orf32"
"ENSG00000101752","NM_020774","MIB1"
"ENSG00000101405","NM_000915","OXT"
"ENSG00000170236","NM_203494","USP50"
"ENSG00000101200","NM_000490","AVP"
"ENSG00000136933","NM_005833","RABEPK"
"ENSG00000136933","NM_001174152","RABEPK"
"ENSG00000136933","NM_001174153","RABEPK"
"ENSG00000102100","NM_005660","SLC35A2"
"ENSG00000147535","NM_001102559","PPAPDC1B"
"ENSG00000102100","NM_001282647","SLC35A2"
"ENSG00000149657","NM_144703","LSM14B"
"ENSG00000102100","NM_001042498","SLC35A2"
"ENSG00000102100","NM_001032289","SLC35A2"
"ENSG00000102100","NM_001282648","SLC35A2"
"ENSG00000147535","NM_032483","PPAPDC1B"
"ENSG00000147535","NM_001102560","PPAPDC1B"
"ENSG00000102100","NM_001282649","SLC35A2"
"ENSG00000102100","NM_001282651","SLC35A2"
"ENSG00000156265","NM_001286623","MAP3K7CL"
"ENSG00000044574","NM_005347","HSPA5"
"ENSG00000080608","NM_014878","KIAA0020"
"ENSG00000032742","NM_006531","IFT88"
"ENSG00000156265","NM_001286634","MAP3K7CL"
"ENSG00000156265","NM_001286617","MAP3K7CL"
"ENSG00000156265","NM_001286618","MAP3K7CL"
"ENSG00000032742","NM_175605","IFT88"
"ENSG00000156265","NM_020152","MAP3K7CL"
"ENSG00000156265","NM_001286619","MAP3K7CL"
"ENSG00000156265","NM_001286620","MAP3K7CL"
"ENSG00000124225","NM_020182","PMEPA1"
"ENSG00000124225","NM_001255976","PMEPA1"
"ENSG00000175806","NM_012331","MSRA"
"ENSG00000175806","NM_001135670","MSRA"
"ENSG00000124225","NM_199170","PMEPA1"
"ENSG00000124225","NM_199169","PMEPA1"
"ENSG00000156265","NM_001286622","MAP3K7CL"
"ENSG00000124225","NM_199171","PMEPA1"
"ENSG00000175806","NM_001199729","MSRA"
"ENSG00000172458","NM_138284","IL17D"
"ENSG00000175806","NM_001135671","MSRA"
"ENSG00000150456","NM_174928","N6AMT2"
"ENSG00000102096","NM_006875","PIM2"
"ENSG00000265681","NM_001199341","RPL17"
"ENSG00000265681","NM_001199342","RPL17"
"ENSG00000265681","NM_001199344","RPL17"
"ENSG00000265681","NM_001199345","RPL17"
"ENSG00000265681","NM_001035006","RPL17"
"ENSG00000169762","NM_153365","TAPT1"
"ENSG00000265681","NM_001199343","RPL17"
"ENSG00000176731","NM_001099673","C8orf59"
"ENSG00000176731","NM_001099672","C8orf59"
"ENSG00000176731","NM_001099671","C8orf59"
"ENSG00000176731","NM_001099670","C8orf59"
"ENSG00000124237","NM_178456","C20orf85"
"ENSG00000028528","NM_001242933","SNX1"
"ENSG00000028528","NM_003099","SNX1"
"ENSG00000265681","NM_000985","RPL17"
"ENSG00000265681","NM_001199340","RPL17"
"ENSG00000156273","NM_001186","BACH1"
"ENSG00000133460","NM_001024938","SLC2A11"
"ENSG00000133460","NM_030807","SLC2A11"
"ENSG00000156273","NM_206866","BACH1"
"ENSG00000101182","NM_002792","PSMA7"
"ENSG00000114062","NM_130839","UBE3A"
"ENSG00000114062","NM_000462","UBE3A"
"ENSG00000028528","NM_148955","SNX1"
"ENSG00000137825","NM_002220","ITPKA"
"ENSG00000114062","NM_130838","UBE3A"
"ENSG00000080298","NM_134428","RFX3"
"ENSG00000080298","NM_001282116","RFX3"
"ENSG00000092439","NM_017672","TRPM7"
"ENSG00000080298","NM_002919","RFX3"
"ENSG00000133460","NM_001024939","SLC2A11"
"ENSG00000186416","NM_001173488","NKRF"
"ENSG00000186416","NM_017544","NKRF"
"ENSG00000185019","NM_001267584","UBOX5"
"ENSG00000185019","NM_014948","UBOX5"
"ENSG00000186416","NM_001173487","NKRF"
"ENSG00000185019","NM_199415","UBOX5"
"ENSG00000240972","NM_002415","MIF"
"ENSG00000187954","NM_138496","CYHR1"
"ENSG00000215251","NM_021826","FASTKD5"
"ENSG00000125931","NM_001144886","CITED1"
"ENSG00000141448","NM_005257","GATA6"
"ENSG00000125931","NM_004143","CITED1"
"ENSG00000123908","NM_012154","AGO2"
"ENSG00000132953","NM_022459","XPO4"
"ENSG00000123908","NM_001164623","AGO2"
"ENSG00000068308","NM_017602","OTUD5"
"ENSG00000125931","NM_001144885","CITED1"
"ENSG00000187954","NM_032687","CYHR1"
"ENSG00000125931","NM_001144887","CITED1"
"ENSG00000187954","NM_001129888","CYHR1"
"ENSG00000212710","NM_172241","CTAGE1"
"ENSG00000088899","NM_014731","LZTS3"
"ENSG00000068308","NM_001136159","OTUD5"
"ENSG00000088899","NM_001282533","LZTS3"
"ENSG00000133433","NM_001080843","GSTT2B"
"ENSG00000068308","NM_001136157","OTUD5"
"ENSG00000068308","NM_001136158","OTUD5"
"ENSG00000099974","NM_001084393","DDTL"
"ENSG00000150457","NM_014572","LATS2"
"ENSG00000184647","NM_198464","PRSS55"
"ENSG00000184647","NM_001197020","PRSS55"
"ENSG00000062524","NM_206961","LTK"
"ENSG00000062524","NM_002344","LTK"
"ENSG00000107249","NM_152629","GLIS3"
"ENSG00000099977","NM_001084392","DDT"
"ENSG00000099977","NM_001355","DDT"
"ENSG00000062524","NM_001135685","LTK"
"ENSG00000198171","NM_023935","DDRGK1"
"ENSG00000107249","NM_001042413","GLIS3"
"ENSG00000150459","NM_005870","SAP18"
"ENSG00000183638","NM_178857","RP1L1"
"ENSG00000100979","NM_001242921","PLTP"
"ENSG00000237375","NM_001257362","BX072566.1"
"ENSG00000171060","NM_001040032","C8orf74"
"ENSG00000099984","NM_000854","GSTT2"
"ENSG00000184402","NM_198935","SS18L1"
"ENSG00000100979","NM_006227","PLTP"
"ENSG00000100979","NM_182676","PLTP"
"ENSG00000171056","NM_031439","SOX7"
"ENSG00000100979","NM_001242920","PLTP"
"ENSG00000172007","NM_031296","RAB33B"
"ENSG00000165480","NM_001166017","SKA3"
"ENSG00000125877","NM_181493","ITPA"
"ENSG00000125877","NM_033453","ITPA"
"ENSG00000184674","NM_000853","GSTT1"
"ENSG00000171189","NM_175611","GRIK1"
"ENSG00000145321","NM_001204306","GC"
"ENSG00000145321","NM_000583","GC"
"ENSG00000145321","NM_001204307","GC"
"ENSG00000125877","NM_001267623","ITPA"
"ENSG00000101670","NM_006033","LIPG"
"ENSG00000171189","NM_000830","GRIK1"
"ENSG00000184508","NM_001286451","HDDC3"
