Ensembl_gene_id	Omim_gene_description
ENSG00000006071	Diabetes mellitus, noninsulin-dependent, 125853 (3), Autosomal dominant; Diabetes mellitus, permanent neonatal, 606176 (3), Autosomal recessive, Autosomal dominant; Diabetes mellitus, transient neonatal 2, 610374 (3); Hyperinsulinemic hypoglycemia, familial, 1, 256450 (3), Autosomal recessive, Autosomal dominant; Hypoglycemia of infancy, leucine-sensitive, 240800 (3), Autosomal dominant
ENSG00000006283	Spinocerebellar ataxia 42, 616795 (3), Autosomal dominant; Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits, 618087 (3), Autosomal dominant
ENSG00000006530	Cataract 38, autosomal recessive, 614691 (3), Autosomal recessive; Sengers syndrome, 212350 (3), Autosomal recessive
ENSG00000006611	Deafness, autosomal recessive 18A, 602092 (3), Autosomal recessive; Usher syndrome, type 1C, 276904 (3), Autosomal recessive
ENSG00000006638	{Bleeding disorder, platelet-type, 13, susceptibility to}, 614009 (3), Autosomal dominant
ENSG00000006695	Leigh syndrome due to mitochondrial COX4 deficiency, 256000 (3), Autosomal recessive, Mitochondrial; Mitochondrial complex IV deficiency, 220110 (3), Autosomal recessive, Mitochondrial
ENSG00000006744	Combined oxidative phosphorylation deficiency 17, 615440 (3), Autosomal recessive; {Prostate cancer, hereditary, 2, susceptibility to}, 614731 (3)
ENSG00000007062	Cone-rod dystrophy 12, 612657 (3); Macular dystrophy, retinal, 2, 608051 (3), Autosomal dominant; Retinitis pigmentosa 41, 612095 (3), Autosomal recessive; Stargardt disease 4, 603786 (3)
ENSG00000007168	Lissencephaly 1, 607432 (3), Isolated cases; Subcortical laminar heterotopia, 607432 (3), Isolated cases
ENSG00000007171	{Hypertension, susceptibility to}, 145500 (2), Multifactorial; {Malaria, resistance to}, 611162 (3)
ENSG00000007312	Agammaglobulinemia 6, 612692 (3), Autosomal recessive
ENSG00000007314	Hyperkalemic periodic paralysis, type 2, 170500 (3), Autosomal dominant; Hypokalemic periodic paralysis, type 2, 613345 (3), Autosomal dominant; Myasthenic syndrome, congenital, 16, 614198 (3), Autosomal recessive; Myotonia congenita, atypical, acetazolamide-responsive, 608390 (3), Autosomal dominant; Paramyotonia congenita, 168300 (3), Autosomal dominant
ENSG00000007372	Aniridia, 106210 (3), Autosomal dominant; Anterior segment dysgenesis 5, multiple subtypes, 604229 (3); Cataract with late-onset corneal dystrophy, 106210 (3), Autosomal dominant; ?Coloboma of optic nerve, 120430 (3), Autosomal dominant; ?Coloboma, ocular, 120200 (3), Autosomal dominant; Foveal hypoplasia 1, 136520 (3), Autosomal dominant; Keratitis, 148190 (3), Autosomal dominant; ?Morning glory disc anomaly, 120430 (3), Autosomal dominant; Optic nerve hypoplasia, 165550 (3), Autosomal dominant
ENSG00000007933	Trimethylaminuria, 602079 (3), Autosomal recessive
ENSG00000008056	Epilepsy, X-linked, with variable learning disabilities and behavior disorders, 300491 (3), X-linked recessive, X-linked dominant
ENSG00000008086	Epileptic encephalopathy, early infantile, 2, 300672 (3), X-linked dominant
ENSG00000008196	Char syndrome, 169100 (3), Autosomal dominant; Patent ductus arteriosus 2, 617035 (3), Autosomal dominant
ENSG00000008277	?Epileptic encephalopathy, early infantile, 61, 617933 (3), Autosomal recessive
ENSG00000008311	Hyperlysinemia, 238700 (3), Autosomal recessive; Saccharopinuria, 268700 (1), Autosomal recessive
ENSG00000008405	{Delayed sleep phase disorder, susceptibility to}, 614163 (3), Autosomal dominant
ENSG00000008441	Marshall-Smith syndrome, 602535 (3), Autosomal dominant; Sotos syndrome 2, 614753 (3), Autosomal dominant
ENSG00000008710	Polycystic kidney disease 1, 173900 (3), Autosomal dominant
ENSG00000008853	Epileptic encephalopathy, early infantile, 64, 618004 (3), Autosomal dominant
ENSG00000009709	Rhabdomyosarcoma 2, alveolar, 268220 (3), Autosomal recessive
ENSG00000009724	MASP2 deficiency, 613791 (3), Autosomal recessive
ENSG00000009765	Thyroid dyshormonogenesis 4, 274800 (3), Autosomal recessive
ENSG00000009830	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2, 613150 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 2, 613156 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 2, 613158 (3), Autosomal recessive
ENSG00000010072	Ruijs-Aalfs syndrome, 616200 (3), Autosomal recessive
ENSG00000010165	?{Deafness, autosomal recessive 26, modifier of}, 605429 (3), Autosomal dominant
ENSG00000010292	?Microcephaly 21, primary, autosomal recessive, 617983 (3), Autosomal recessive
ENSG00000010361	Neural tube defects, 182940 (3), Autosomal dominant
ENSG00000010404	Mucopolysaccharidosis II, 309900 (3), X-linked recessive
ENSG00000010610	OKT4 epitope deficiency, 613949 (3)
ENSG00000010671	Agammaglobulinemia and isolated hormone deficiency, 307200 (3), X-linked recessive; Agammaglobulinemia, X-linked 1, 300755 (3), X-linked recessive
ENSG00000010704	{Alzheimer disease, susceptibility to}, 104300 (3), Autosomal dominant; Hemochromatosis, 235200 (3), Autosomal recessive; {Microvascular complications of diabetes 7}, 612635 (3); {Porphyria cutanea tarda, susceptibility to}, 176100 (3), Autosomal recessive, Autosomal dominant; {Porphyria variegata, susceptibility to}, 176200 (3), Autosomal dominant; [Transferrin serum level QTL2], 614193 (3)
ENSG00000010818	Mental retardation, autosomal dominant 43, 616977 (3), Autosomal dominant
ENSG00000011143	Bardet-Biedl syndrome 13, 615990 (3), Autosomal recessive; Joubert syndrome 28, 617121 (3), Autosomal recessive; Meckel syndrome 1, 249000 (3), Autosomal recessive
ENSG00000011198	Chanarin-Dorfman syndrome, 275630 (3), Autosomal recessive
ENSG00000011201	Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1), 308700 (3), X-linked recessive
ENSG00000011275	Cerebellar ataxia and hypogonadotropic hypogonadism, 212840 (3), Autosomal recessive
ENSG00000011295	Mitochondrial complex III deficiency, nuclear type 2, 615157 (3), Autosomal recessive
ENSG00000011376	?Hydrops, lactic acidosis, and sideroblastic anemia, 617021 (3), Autosomal recessive; Perrault syndrome 4, 615300 (3), Autosomal recessive
ENSG00000011426	Focal segmental glomerulosclerosis 8, 616032 (3), Autosomal dominant
ENSG00000011465	Corneal dystrophy, congenital stromal, 610048 (3), Autosomal dominant
ENSG00000011600	Nasu-Hakola disease, 221770 (3), Autosomal recessive
ENSG00000012048	{Breast-ovarian cancer, familial, 1}, 604370 (3), Autosomal dominant, Multifactorial; Fanconi anemia, complementation group S, 617883 (3), Autosomal recessive; {Pancreatic cancer, susceptibility to, 4}, 614320 (3)
ENSG00000012061	Cerebrooculofacioskeletal syndrome 4, 610758 (3), Autosomal recessive
ENSG00000012174	IFAP syndrome with or without BRESHECK syndrome, 308205 (3), X-linked recessive; Keratosis follicularis spinulosa decalvans, X-linked, 308800 (3), X-linked recessive; ?Olmsted syndrome, X-linked, 300918 (3), X-linked recessive; Osteogenesis imperfecta, type XIX, 301014 (3), X-linked recessive
ENSG00000012232	Immunoskeletal dysplasia with neurodevelopmental abnormalities, 617425 (3), Autosomal recessive
ENSG00000012504	Cholestasis, progressive familial intrahepatic, 5, 617049 (3), Autosomal recessive
ENSG00000012660	Spinocerebellar ataxia 38, 615957 (3), Autosomal dominant
ENSG00000012779	{Asthma, diminished response to antileukotriene treatment in}, 600807 (3), Autosomal dominant; {Atherosclerosis, susceptibility to} (3)
ENSG00000013293	Retinitis pigmentosa 68, 615725 (3), Autosomal recessive
ENSG00000013375	Immunodeficiency 23, 615816 (3), Autosomal recessive
ENSG00000013503	Leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism, 614381 (3), Autosomal recessive
ENSG00000013573	Warsaw breakage syndrome, 613398 (3), Autosomal recessive
ENSG00000013619	Hypospadias 2, X-linked, 300758 (3), X-linked recessive
ENSG00000014216	Spastic paraplegia 76, autosomal recessive, 616907 (3), Autosomal recessive
ENSG00000014824	?Birk-Landau-Perez syndrome, 617595 (3), Autosomal recessive
ENSG00000014919	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2, 615119 (3), Autosomal recessive; Leigh syndrome due to cytochrome c oxidase deficiency, 256000 (3), Autosomal recessive, Mitochondrial
ENSG00000015133	Hydrocephalus, congenital, 1, 236600 (3), Autosomal recessive; ?Spinocerebellar ataxia 40, 616053 (3), Autosomal dominant
ENSG00000015171	Mental retardation, autosomal dominant 30, 616083 (3), Autosomal dominant
ENSG00000015285	Neutropenia, severe congenital, X-linked, 300299 (3), X-linked recessive; Thrombocytopenia, X-linked, 313900 (3), X-linked recessive; Thrombocytopenia, X-linked, intermittent, 313900 (3), X-linked recessive; Wiskott-Aldrich syndrome, 301000 (3), X-linked recessive
ENSG00000015479	Amyotrophic lateral sclerosis 21, 606070 (3), Autosomal dominant
ENSG00000015520	[Ezetimibe, nonresponse to], 617966 (3); [Low density lipoprotein cholesterol level QTL 7], 617966 (3)
ENSG00000015532	{Pseudoxanthoma elasticum, modifier of severity of}, 264800 (3), Autosomal recessive; Spondyloocular syndrome, 605822 (3), Autosomal recessive
ENSG00000017260	Hailey-Hailey disease, 169600 (3), Autosomal dominant
ENSG00000017427	Growth retardation with deafness and mental retardation due to IGF1 deficiency, 608747 (3), Autosomal recessive
ENSG00000018236	?Myopathy, congenital, Compton-North, 612540 (3), Autosomal recessive
ENSG00000018280	{Buruli ulcer, susceptibility to}, 610446 (3); {Mycobacterium tuberculosis, susceptibility to infection by}, 607948 (3)
ENSG00000018510	Rhizomelic chondrodysplasia punctata, type 3, 600121 (3), Autosomal recessive
ENSG00000018610	?Mental retardation, X-linked 107, 301013 (3), X-linked
ENSG00000018625	Alternating hemiplegia of childhood 1, 104290 (3), Autosomal dominant; Migraine, familial basilar, 602481 (3), Autosomal dominant; Migraine, familial hemiplegic, 2, 602481 (3), Autosomal dominant
ENSG00000019186	Hypercalcemia, infantile, 1, 143880 (3), Autosomal recessive
ENSG00000019549	Piebaldism, 172800 (3), Autosomal dominant; Waardenburg syndrome, type 2D, 608890 (3), Autosomal recessive
ENSG00000019991	Deafness, autosomal recessive 39, 608265 (3), Autosomal recessive
ENSG00000020922	Ataxia-telangiectasia-like disorder 1, 604391 (3), Autosomal recessive
ENSG00000021488	Cystinuria, 220100 (3), Autosomal recessive, Autosomal dominant
ENSG00000021574	Spastic paraplegia 4, autosomal dominant, 182601 (3), Autosomal dominant
ENSG00000021826	Carbamoylphosphate synthetase I deficiency, 237300 (3), Autosomal recessive; {Pulmonary hypertension, neonatal, susceptibility to}, 615371 (3); {Venoocclusive disease after bone marrow transplantation} (3)
ENSG00000021852	C8 deficiency, type II, 613789 (3), Autosomal recessive
ENSG00000022267	Emery-Dreifuss muscular dystrophy 6, X-linked, 300696 (3), X-linked recessive; Myopathy, X-linked, with postural muscle atrophy, 300696 (3), X-linked recessive; Reducing body myopathy, X-linked 1a, severe, infantile or early childhood onset, 300717 (3), X-linked dominant; Reducing body myopathy, X-linked 1b, with late childhood or adult onset, 300718 (3), X-linked; Scapuloperoneal myopathy, X-linked dominant, 300695 (3), X-linked dominant; ?Uruguay faciocardiomusculoskeletal syndrome, 300280 (3), X-linked recessive
ENSG00000022355	{Epilepsy, childhood absence, susceptibility to, 4}, 611136 (3); {Epilepsy, juvenile myoclonic, susceptibility to, 5}, 611136 (3); Epileptic encephalopathy, early infantile, 19, 615744 (3), Autosomal dominant
ENSG00000023228	Mitochondrial complex I deficiency, 252010 (3), Autosomal recessive, X-linked dominant, Mitochondrial
ENSG00000023287	Breast cancer, somatic, 114480 (3)
ENSG00000023839	Dubin-Johnson syndrome, 237500 (3), Autosomal recessive
ENSG00000023909	{Myocardial infarction, susceptibility to}, 608446 (3)
ENSG00000025708	Mitochondrial DNA depletion syndrome 1 (MNGIE type), 603041 (3), Autosomal recessive
ENSG00000025796	Polycystic liver disease 2, 617004 (3), Autosomal dominant
ENSG00000026025	Cataract 30, pulverulent, 116300 (3), Autosomal dominant
ENSG00000026103	Autoimmune lymphoproliferative syndrome, type IA, 601859 (3), Autosomal dominant; {Autoimmune lymphoproliferative syndrome}, 601859 (3), Autosomal dominant; Squamous cell carcinoma, burn scar-related, somatic (3)
ENSG00000026297	Leukoencephalopathy, cystic, without megalencephaly, 612951 (3), Autosomal recessive
ENSG00000026508	[Blood group, Indian system], 609027 (3)
ENSG00000027001	Combined oxidative phosphorylation deficiency 31, 617228 (3), Autosomal recessive
ENSG00000027075	{Cerebral infarction, susceptibility to}, 601367 (3), Multifactorial
ENSG00000027697	{H. pylori infection, susceptibility to}, 600263 (3); {Hepatitis B virus infection, susceptibility to}, 610424 (3); Immunodeficiency 27A, mycobacteriosis, AR, 209950 (3), Autosomal recessive; Immunodeficiency 27B, mycobacteriosis, AD, 615978 (3), Autosomal dominant; {Tuberculosis infection, protection against}, 607948 (3); {Tuberculosis, susceptibility to}, 607948 (3)
ENSG00000027847	Ehlers-Danlos syndrome, spondylodysplastic type, 1, 130070 (3), Autosomal recessive
ENSG00000029534	Spherocytosis, type 1, 182900 (3), Autosomal dominant
ENSG00000029993	?Microphthalmia, syndromic 13, 300915 (3), X-linked
ENSG00000030304	Fetal akinesia deformation sequence, 208150 (3), Autosomal recessive; Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency, 616325 (3), Autosomal recessive
ENSG00000030582	Aphasia, primary progressive, 607485 (3), Autosomal dominant; Ceroid lipofuscinosis, neuronal, 11, 614706 (3), Autosomal recessive; Frontotemporal lobar degeneration with ubiquitin-positive inclusions, 607485 (3), Autosomal dominant
ENSG00000031081	Adams-Oliver syndrome 1, 100300 (3), Autosomal dominant
ENSG00000031698	?Neurodevelopmental disorder with microcephaly, ataxia, and seizures, 617709 (3), Autosomal recessive
ENSG00000032444	Boucher-Neuhauser syndrome, 215470 (3), Autosomal recessive; ?Laurence-Moon syndrome, 245800 (3), Autosomal recessive; Oliver-McFarlane syndrome, 275400 (3), Autosomal recessive; Spastic paraplegia 39, autosomal recessive, 612020 (3), Autosomal recessive
ENSG00000033011	Congenital disorder of glycosylation, type Ik, 608540 (3), Autosomal recessive
ENSG00000033170	Congenital disorder of glycosylation with defective fucosylation, 618005 (3), Autosomal recessive
ENSG00000034693	Peroxisome biogenesis disorder 10A (Zellweger), 614882 (3), Autosomal recessive; ?Peroxisome biogenesis disorder 10B, 617370 (3), Autosomal recessive
ENSG00000034971	Glaucoma 1A, primary open angle, 137750 (3), Autosomal dominant
ENSG00000035403	Cardiomyopathy, dilated, 1W, 611407 (3); Cardiomyopathy, hypertrophic, 15, 613255 (3), Autosomal dominant
ENSG00000036054	Pontocerebellar hypoplasia, type 11, 617695 (3), Autosomal recessive
ENSG00000036257	Pseudohypoaldosteronism, type IIE, 614496 (3), Autosomal dominant
ENSG00000036473	Ornithine transcarbamylase deficiency, 311250 (3), X-linked recessive
ENSG00000036828	{Epilepsy idiopathic generalized, susceptibility to, 8}, 612899 (3); Hyperparathyroidism, neonatal, 239200 (3), Autosomal recessive, Autosomal dominant; Hypocalcemia, autosomal dominant, 601198 (3), Autosomal dominant; Hypocalcemia, autosomal dominant, with Bartter syndrome, 601198 (3), Autosomal dominant; Hypocalciuric hypercalcemia, type I, 145980 (3), Autosomal dominant
ENSG00000037280	Hemangioma, capillary infantile, somatic, 602089 (3); Lymphedema, hereditary, IA, 153100 (3), Autosomal dominant
ENSG00000037474	Mental retardation, autosomal recessive 5, 611091 (3), Autosomal recessive
ENSG00000038002	Aspartylglucosaminuria, 208400 (3), Autosomal recessive
ENSG00000038295	Atrial septal defect 6, 613087 (3), Autosomal dominant
ENSG00000038382	Mental retardation, autosomal dominant 44, 617061 (3), Autosomal dominant
ENSG00000038427	Wagner syndrome 1, 143200 (3), Autosomal dominant
ENSG00000038945	Barrett esophagus/esophageal adenocarcinoma, 614266 (3)
ENSG00000039068	Blepharocheilodontic syndrome 1, 119580 (3), Autosomal dominant; {Breast cancer, lobular}, 114480 (3), Autosomal dominant; Endometrial carcinoma, somatic, 608089 (3); Gastric cancer, familial diffuse, with or without cleft lip and/or palate, 137215 (3), Autosomal dominant; Ovarian carcinoma, somatic, 167000 (3); {Prostate cancer, susceptibility to}, 176807 (3), Autosomal dominant
ENSG00000039139	Ciliary dyskinesia, primary, 3, with or without situs inversus, 608644 (3)
ENSG00000039537	C6 deficiency, 612446 (3); Combined C6/C7 deficiency (3)
ENSG00000039650	Ataxia-oculomotor apraxia 4, 616267 (3), Autosomal recessive; Microcephaly, seizures, and developmental delay, 613402 (3), Autosomal recessive
ENSG00000040531	Cystinosis, atypical nephropathic, 219800 (3), Autosomal recessive; Cystinosis, late-onset juvenile or adolescent nephropathic, 219900 (3), Autosomal recessive; Cystinosis, nephropathic, 219800 (3), Autosomal recessive; Cystinosis, ocular nonnephropathic, 219750 (3), Autosomal recessive
ENSG00000040608	{Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant
ENSG00000041982	Deafness, autosomal dominant 56, 615629 (3), Autosomal dominant
ENSG00000042088	Spinocerebellar ataxia, autosomal recessive with axonal neuropathy, 607250 (3)
ENSG00000042317	Leber congenital amaurosis 3, 604232 (3); Retinitis pigmentosa, juvenile, autosomal recessive, 604232 (3)
ENSG00000042429	Microcephaly, postnatal progressive, with seizures and brain atrophy, 613668 (3), Autosomal recessive
ENSG00000042753	Hypocalciuric hypercalcemia, type III, 600740 (3), Autosomal dominant
ENSG00000042781	Retinitis pigmentosa 39, 613809 (3); Usher syndrome, type 2A, 276901 (3), Autosomal recessive
ENSG00000042832	{Autoimmune thyroid disease, susceptibility to, 3}, 608175 (3); Thyroid dyshormonogenesis 3, 274700 (3), Autosomal recessive
ENSG00000043355	Holoprosencephaly 5, 609637 (3), Autosomal dominant
ENSG00000043514	Combined oxidative phosphorylation deficiency 35, 617873 (3), Autosomal recessive
ENSG00000043591	{Congestive heart failure and beta-blocker response, modifier of} (3); [Resting heart rate], 607276 (3)
ENSG00000044090	3-M syndrome 1, 273750 (3), Autosomal recessive
ENSG00000044115	Macular dystrophy, patterned, 2, 608970 (3), Autosomal dominant
ENSG00000044446	Glycogen storage disease, type IXa1, 306000 (3), X-linked recessive; Glycogen storage disease, type IXa2, 306000 (3), X-linked recessive
ENSG00000046604	Arrhythmogenic right ventricular dysplasia 10, 610193 (3), Autosomal dominant; Cardiomyopathy, dilated, 1BB, 612877 (3)
ENSG00000046651	Joubert syndrome 10, 300804 (3), X-linked recessive; Orofaciodigital syndrome I, 311200 (3), X-linked dominant; ?Retinitis pigmentosa 23, 300424 (3), X-linked recessive; Simpson-Golabi-Behmel syndrome, type 2, 300209 (3), X-linked recessive
ENSG00000047457	Cerebellar ataxia, 604290 (3), Autosomal recessive; Hemosiderosis, systemic, due to aceruloplasminemia, 604290 (3), Autosomal recessive; [Hypoceruloplasminemia, hereditary], 604290 (3), Autosomal recessive
ENSG00000047578	Joubert syndrome 26, 616784 (3), Autosomal recessive
ENSG00000047579	Hermansky-Pudlak syndrome 7, 614076 (3), Autosomal recessive
ENSG00000047597	McLeod syndrome with or without chronic granulomatous disease, 300842 (3), X-linked
ENSG00000048342	COACH syndrome, 216360 (3), Autosomal recessive; Joubert syndrome 9, 612285 (3), Autosomal recessive; Meckel syndrome 6, 612284 (3), Autosomal recessive
ENSG00000048392	Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy), 612075 (3), Autosomal recessive; Mitochondrial DNA depletion syndrome 8B (MNGIE type), 612075 (3), Autosomal recessive; Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5, 613077 (3), Autosomal dominant
ENSG00000048545	Cone dystrophy-3, 602093 (3), Autosomal dominant; Cone-rod dystrophy 14, 602093 (3), Autosomal dominant
ENSG00000048707	Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive
ENSG00000049089	Epiphyseal dysplasia, multiple, 2, 600204 (3), Autosomal dominant; ?Stickler syndrome, type V, 614284 (3), Autosomal recessive
ENSG00000049130	Deafness, autosomal dominant 69, unilateral or asymmetric, 616697 (3), Autosomal dominant; Hyperpigmentation with or without hypopigmentation, 145250 (3), Autosomal dominant; [Skin/hair/eye pigmentation 7, blond/brown hair], 611664 (3)
ENSG00000049167	Cockayne syndrome, type A, 216400 (3), Autosomal recessive; UV-sensitive syndrome 2, 614621 (3), Autosomal recessive
ENSG00000049239	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
ENSG00000049246	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant
ENSG00000049540	Cutis laxa, autosomal dominant, 123700 (3), Autosomal dominant; Supravalvar aortic stenosis, 185500 (3), Autosomal dominant
ENSG00000049618	Coffin-Siris syndrome 1, 135900 (3), Autosomal dominant
ENSG00000049759	Periventricular nodular heterotopia 7, 617201 (3), Autosomal dominant
ENSG00000049768	{Diabetes mellitus, type I, susceptibility to}, 222100 (3), Autosomal recessive; Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked, 304790 (3), X-linked recessive
ENSG00000049860	Sandhoff disease, infantile, juvenile, and adult forms, 268800 (3), Autosomal recessive
ENSG00000050030	Mental retardation, X-linked 98, 300912 (3), X-linked dominant
ENSG00000050405	[Low density lipoprotein cholesterol level QTL 8], 618079 (3)
ENSG00000050555	Cortical malformations, occipital, 614115 (3), Autosomal recessive
ENSG00000051180	{Breast cancer, susceptibility to}, 114480 (3), Autosomal dominant; ?Fanconi anemia, complementation group R, 617244 (3), Autosomal dominant; Mirror movements 2, 614508 (3), Autosomal dominant
ENSG00000051523	Chronic granulomatous disease, autosomal, due to deficiency of CYBA, 233690 (3), Autosomal recessive
ENSG00000052802	Microcephaly, congenital cataract, and psoriasiform dermatitis, 616834 (3), Autosomal recessive
ENSG00000052850	{Craniosynostosis 5, susceptibility to}, 615529 (3), Autosomal dominant; Frontonasal dysplasia 2, 613451 (3), Autosomal recessive; Parietal foramina 2, 609597 (3), Autosomal dominant
ENSG00000053747	Epidermolysis bullosa, generalized atrophic benign, 226650 (3), Autosomal recessive; Epidermolysis bullosa, junctional, Herlitz type, 226700 (3), Autosomal recessive; Laryngoonychocutaneous syndrome, 245660 (3), Autosomal recessive
ENSG00000053918	Atrial fibrillation, familial, 3, 607554 (3), Autosomal dominant; Jervell and Lange-Nielsen syndrome, 220400 (3), Autosomal recessive; Long QT syndrome 1, 192500 (3), Autosomal dominant; {Long QT syndrome 1, acquired, susceptibility to}, 192500 (3), Autosomal dominant; Short QT syndrome 2, 609621 (3), Autosomal dominant
ENSG00000054282	Bardet-Biedl syndrome 16, 615993 (3), Autosomal recessive; Senior-Loken syndrome 7, 613615 (3)
ENSG00000054523	?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Isolated cases; Pheochromocytoma, 171300 (3), Autosomal dominant
