"ENSG00000261530","XM_005263190","BTC"
"ENSG00000088881","XM_005260771","EBF4"
"ENSG00000088881","XM_005260770","EBF4"
"ENSG00000183791","XM_005276638","TCEB3C"
"ENSG00000183791","XM_003960747","TCEB3C"
"ENSG00000183791","XM_005276637","TCEB3C"
"ENSG00000167220","XM_005258370","HDHD2"
"ENSG00000167220","XM_005258369","HDHD2"
"ENSG00000171448","XM_005252108","ZBTB26"
"ENSG00000171448","XM_005252107","ZBTB26"
"ENSG00000167220","XM_005258372","HDHD2"
"ENSG00000124103","XM_005260411","FAM209A"
"ENSG00000154723","XM_005260992","ATP5J"
"ENSG00000104047","XM_005254562","DTWD1"
"ENSG00000104047","XM_005254561","DTWD1"
"ENSG00000140564","XM_005254932","FURIN"
"ENSG00000140564","XM_005254931","FURIN"
"ENSG00000140157","XM_005272550","NIPA2"
"ENSG00000140157","XM_005272549","NIPA2"
"ENSG00000140157","XM_005272548","NIPA2"
"ENSG00000140157","XM_005272547","NIPA2"
"ENSG00000140157","XM_005272546","NIPA2"
"ENSG00000087510","XM_005260537","TFAP2C"
"ENSG00000140157","XM_005272553","NIPA2"
"ENSG00000140157","XM_005272551","NIPA2"
"ENSG00000124203","XM_005260274","ZNF831"
"ENSG00000124203","XM_005260273","ZNF831"
"ENSG00000124203","XM_005260272","ZNF831"
"ENSG00000261694","XM_005276839","ADCK5"
"ENSG00000261694","XM_005276838","ADCK5"
"ENSG00000154727","XM_005260940","GABPA"
"ENSG00000154727","XM_005260939","GABPA"
"ENSG00000154727","XM_005260938","GABPA"
"ENSG00000124205","XM_005260313","EDN3"
"ENSG00000124205","XM_005260312","EDN3"
"ENSG00000198326","XM_005260633","TMEM239"
"ENSG00000198326","XM_005260634","TMEM239"
"ENSG00000124205","XM_005260314","EDN3"
"ENSG00000011454","XM_005251868","RABGAP1"
"ENSG00000011454","XM_005251867","RABGAP1"
"ENSG00000011454","XM_005251866","RABGAP1"
"ENSG00000188394","XM_005251933","GPR21"
"ENSG00000132635","XM_005260804","PCED1A"
"ENSG00000132635","XM_005260805","PCED1A"
"ENSG00000170113","XM_005272541","NIPA1"
"ENSG00000054796","XM_005260381","SPO11"
"ENSG00000182511","XM_005254878","FES"
"ENSG00000182511","XM_005254877","FES"
"ENSG00000165209","XM_005252083","STRBP"
"ENSG00000172785","XM_005277640","CBWD1"
"ENSG00000172785","XM_005251992","CBWD1"
"ENSG00000172785","XM_005272535","CBWD1"
"ENSG00000172785","XM_005251515","CBWD1"
"ENSG00000172785","XM_005263604","CBWD1"
"ENSG00000182511","XM_005254880","FES"
"ENSG00000182511","XM_005254881","FES"
"ENSG00000182511","XM_005254882","FES"
"ENSG00000260313","XM_005276843","VPS28"
"ENSG00000260716","XM_005272321","TONSL"
"ENSG00000148204","XM_005251934","CRB2"
"ENSG00000153666","XM_005276464","GOLGA8I"
"ENSG00000153666","XM_005276463","GOLGA8I"
"ENSG00000153666","XM_005276462","GOLGA8I"
"ENSG00000153666","XM_003960560","GOLGA8I"
"ENSG00000153666","XM_005276458","GOLGA8I"
"ENSG00000153666","XM_005268290","GOLGA8I"
"ENSG00000153666","XM_005268289","GOLGA8I"
"ENSG00000153666","XM_005268288","GOLGA8I"
"ENSG00000153666","XM_003118930","GOLGA8I"
"ENSG00000153666","XM_005268284","GOLGA8I"
"ENSG00000101146","XM_005260583","RAE1"
"ENSG00000101146","XM_005260582","RAE1"
"ENSG00000261772","XM_003846723","IQSEC3"
"ENSG00000101473","XM_005260239","ACOT8"
"ENSG00000101473","XM_005260242","ACOT8"
"ENSG00000166265","XM_005260918","CYYR1"
"ENSG00000119522","XM_005252111","DENND1A"
"ENSG00000119522","XM_005252113","DENND1A"
"ENSG00000119522","XM_005252115","DENND1A"
"ENSG00000140287","XM_005254328","HDC"
"ENSG00000107099","XM_005251605","DOCK8"
"ENSG00000119522","XM_005252114","DENND1A"
"ENSG00000184828","XM_005258231","ZBTB7C"
"ENSG00000184828","XM_005258230","ZBTB7C"
"ENSG00000184828","XM_005258226","ZBTB7C"
"ENSG00000184828","XM_005258225","ZBTB7C"
"ENSG00000184828","XM_005258229","ZBTB7C"
"ENSG00000184828","XM_005258227","ZBTB7C"
"ENSG00000140455","XM_005254816","USP3"
"ENSG00000196074","XM_005260248","SYCP2"
"ENSG00000196074","XM_005260247","SYCP2"
"ENSG00000178997","XM_005254207","EXD1"
"ENSG00000196199","XM_005266436","MPHOSPH8"
"ENSG00000196199","XM_005266435","MPHOSPH8"
"ENSG00000231825","XM_005275596","PRRC2A"
"ENSG00000231825","XM_005275595","PRRC2A"
"ENSG00000231825","XM_005275463","PRRC2A"
"ENSG00000231825","XM_005275462","PRRC2A"
"ENSG00000231825","XM_005272879","PRRC2A"
"ENSG00000174450","XM_005276456","GOLGA6L2"
"ENSG00000174450","XM_002343322","GOLGA6L2"
"ENSG00000174450","XM_005268282","GOLGA6L2"
"ENSG00000196547","XM_005254911","MAN2A2"
"ENSG00000179455","XM_005268273","MKRN3"
"ENSG00000119408","XM_005251664","NEK6"
"ENSG00000119408","XM_005251663","NEK6"
"ENSG00000128322","XM_005261598","IGLL1"
"ENSG00000254585","XM_005268260","MAGEL2"
"ENSG00000104064","XM_005254275","GABPB1"
"ENSG00000104064","XM_005254274","GABPB1"
"ENSG00000104064","XM_005254273","GABPB1"
"ENSG00000132950","XM_005266594","ZMYM5"
"ENSG00000132950","XM_005266593","ZMYM5"
"ENSG00000168612","XM_005260610","ZSWIM1"
"ENSG00000173253","XM_005251353","DMRT2"
"ENSG00000149634","XM_005260271","SPATA25"
"ENSG00000173253","XM_005251351","DMRT2"
"ENSG00000173253","XM_005251352","DMRT2"
"ENSG00000261887","XM_005277548","C5orf30"
"ENSG00000261887","XM_005272125","C5orf30"
"ENSG00000261887","XM_005277547","C5orf30"
"ENSG00000261887","XM_005277546","C5orf30"
"ENSG00000261887","XM_005272124","C5orf30"
"ENSG00000261887","XM_005272123","C5orf30"
"ENSG00000262860","XM_005276948","LSM14A"
"ENSG00000262860","XM_005258719","LSM14A"
"ENSG00000136931","XM_005251873","NR5A1"
"ENSG00000136931","XM_005251871","NR5A1"
"ENSG00000262860","XM_005276949","LSM14A"
"ENSG00000262860","XM_005258720","LSM14A"
"ENSG00000196227","XM_005260509","FAM217B"
"ENSG00000128739","XM_005268264","SNRPN"
"ENSG00000260130","XM_005277002","MYOM2"
"ENSG00000260130","XM_005277001","MYOM2"
"ENSG00000260130","XM_005266037","MYOM2"
"ENSG00000260130","XM_005266036","MYOM2"
"ENSG00000148200","XM_005251918","NR6A1"
"ENSG00000148200","XM_005251917","NR6A1"
"ENSG00000132670","XM_005260779","PTPRA"
"ENSG00000132670","XM_005260776","PTPRA"
"ENSG00000132670","XM_005260780","PTPRA"
"ENSG00000132670","XM_005260777","PTPRA"
"ENSG00000132670","XM_005260778","PTPRA"
"ENSG00000185585","XM_005251759","OLFML2A"
"ENSG00000185585","XM_005251761","OLFML2A"
"ENSG00000267483","XM_005257068","RBFOX3"
"ENSG00000197361","XM_005254321","FBXL22"
"ENSG00000136918","XM_005251988","WDR38"
"ENSG00000137804","XM_005254430","NUSAP1"
"ENSG00000136950","XM_005252250","ARPC5L"
"ENSG00000137804","XM_005254429","NUSAP1"
"ENSG00000137804","XM_005254428","NUSAP1"
"ENSG00000156256","XM_005260914","USP16"
"ENSG00000156256","XM_005260913","USP16"
"ENSG00000137804","XM_005254431","NUSAP1"
"ENSG00000080503","XM_005251558","SMARCA2"
"ENSG00000080503","XM_005251557","SMARCA2"
"ENSG00000169314","XM_005261354","C22orf15"
"ENSG00000169314","XM_005261352","C22orf15"
"ENSG00000169314","XM_005261350","C22orf15"
"ENSG00000121741","XM_005266521","ZMYM2"
"ENSG00000121741","XM_005266519","ZMYM2"
"ENSG00000121741","XM_005266518","ZMYM2"
"ENSG00000136935","XM_005251929","GOLGA1"
"ENSG00000158201","XM_005258205","ABHD3"
"ENSG00000121741","XM_005266520","ZMYM2"
"ENSG00000121741","XM_005266517","ZMYM2"
"ENSG00000121741","XM_005266516","ZMYM2"
"ENSG00000121743","XM_005266353","GJA3"
"ENSG00000138592","XM_005254776","USP8"
"ENSG00000165474","XM_005266356","GJB2"
"ENSG00000165474","XM_005266355","GJB2"
"ENSG00000165474","XM_005266354","GJB2"
"ENSG00000103657","XM_005254749","HERC1"
"ENSG00000103657","XM_005254748","HERC1"
"ENSG00000103657","XM_005254747","HERC1"
"ENSG00000103657","XM_005254746","HERC1"
"ENSG00000103657","XM_005254745","HERC1"
"ENSG00000103657","XM_005254744","HERC1"
"ENSG00000103657","XM_005254743","HERC1"
"ENSG00000103657","XM_005254742","HERC1"
"ENSG00000124253","XM_005260415","PCK1"
"ENSG00000141627","XM_005258291","DYM"
"ENSG00000261923","XM_005252971","PDE3B"
"ENSG00000186871","XM_005262280","ERCC6L"
"ENSG00000140553","XM_005254962","UNC45A"
"ENSG00000035664","XM_005254266","DAPK2"
"ENSG00000035664","XM_005254265","DAPK2"
"ENSG00000140553","XM_005254963","UNC45A"
"ENSG00000140553","XM_005254961","UNC45A"
"ENSG00000035664","XM_005254268","DAPK2"
"ENSG00000099956","XM_005261718","SMARCB1"
"ENSG00000262968","XM_005277734","CYP2R1"
"ENSG00000262968","XM_005277733","CYP2R1"
"ENSG00000262968","XM_005252791","CYP2R1"
"ENSG00000262968","XM_005252790","CYP2R1"
"ENSG00000173273","XM_005272400","TNKS"
"ENSG00000198034","XM_005262286","RPS4X"
"ENSG00000156261","XM_005260915","CCT8"
"ENSG00000156261","XM_005260917","CCT8"
"ENSG00000099958","XM_005261824","DERL3"
"ENSG00000170236","XM_005254358","USP50"
"ENSG00000136933","XM_005251640","RABEPK"
"ENSG00000136933","XM_005251641","RABEPK"
"ENSG00000147535","XM_005273662","PPAPDC1B"
"ENSG00000233348","XM_005275603","BAG6"
"ENSG00000233348","XM_005275470","BAG6"
"ENSG00000233348","XM_005272885","BAG6"
"ENSG00000102100","XM_005272654","SLC35A2"
"ENSG00000102100","XM_005272652","SLC35A2"
"ENSG00000032742","XM_005266554","IFT88"
"ENSG00000032742","XM_005266546","IFT88"
"ENSG00000032742","XM_005266553","IFT88"
"ENSG00000032742","XM_005266555","IFT88"
"ENSG00000032742","XM_005266547","IFT88"
"ENSG00000233348","XM_005275606","BAG6"
"ENSG00000233348","XM_005275600","BAG6"
"ENSG00000233348","XM_005275599","BAG6"
"ENSG00000233348","XM_005275598","BAG6"
"ENSG00000233348","XM_005275597","BAG6"
"ENSG00000233348","XM_005275473","BAG6"
"ENSG00000233348","XM_005275467","BAG6"
"ENSG00000233348","XM_005275466","BAG6"
"ENSG00000233348","XM_005275465","BAG6"
"ENSG00000233348","XM_005275464","BAG6"
"ENSG00000233348","XM_005272888","BAG6"
"ENSG00000233348","XM_005272882","BAG6"
"ENSG00000233348","XM_005272881","BAG6"
"ENSG00000233348","XM_005272880","BAG6"
"ENSG00000172458","XM_005266422","IL17D"
"ENSG00000172458","XM_005266421","IL17D"
"ENSG00000150456","XM_005266287","N6AMT2"
"ENSG00000028528","XM_005254610","SNX1"
"ENSG00000169762","XM_005248142","TAPT1"
"ENSG00000169762","XM_005248141","TAPT1"
"ENSG00000169762","XM_005248140","TAPT1"
"ENSG00000169762","XM_005248139","TAPT1"
"ENSG00000169762","XM_005248138","TAPT1"
"ENSG00000028528","XM_005254611","SNX1"
"ENSG00000156273","XM_005261013","BACH1"
"ENSG00000156273","XM_005261012","BACH1"
"ENSG00000156273","XM_005261014","BACH1"
"ENSG00000137825","XM_005254348","ITPKA"
"ENSG00000080298","XM_005251540","RFX3"
"ENSG00000080298","XM_005251539","RFX3"
"ENSG00000080298","XM_005251535","RFX3"
"ENSG00000080298","XM_005251534","RFX3"
"ENSG00000080298","XM_005251536","RFX3"
"ENSG00000080298","XM_005251538","RFX3"
"ENSG00000080298","XM_005251537","RFX3"
"ENSG00000124227","XM_003960791","ANKRD60"
"ENSG00000124227","XM_001134442","ANKRD60"
"ENSG00000124227","XM_001717339","ANKRD60"
"ENSG00000092439","XM_005254488","TRPM7"
"ENSG00000186416","XM_005262444","NKRF"
"ENSG00000186416","XM_005262443","NKRF"
"ENSG00000125931","XM_005262267","CITED1"
"ENSG00000132953","XM_005266504","XPO4"
"ENSG00000132953","XM_005266502","XPO4"
"ENSG00000068308","XM_005278040","OTUD5"
"ENSG00000068308","XM_005278038","OTUD5"
"ENSG00000068308","XM_005272622","OTUD5"
"ENSG00000125931","XM_005262266","CITED1"
"ENSG00000088899","XM_005260893","LZTS3"
"ENSG00000088899","XM_005260892","LZTS3"
"ENSG00000088899","XM_005260890","LZTS3"
"ENSG00000133433","XM_005261715","GSTT2B"
"ENSG00000133433","XM_005261590","GSTT2B"
"ENSG00000068308","XM_005278039","OTUD5"
"ENSG00000068308","XM_005272621","OTUD5"
"ENSG00000262933","XM_005277735","CALCA"
"ENSG00000262933","XM_005253133","CALCA"
"ENSG00000150457","XM_005266342","LATS2"
"ENSG00000107249","XM_005251388","GLIS3"
"ENSG00000107249","XM_005251387","GLIS3"
"ENSG00000107249","XM_005251386","GLIS3"
"ENSG00000062524","XM_005254382","LTK"
"ENSG00000062524","XM_005254381","LTK"
"ENSG00000099977","XM_005261384","DDT"
"ENSG00000184402","XM_005260391","SS18L1"
"ENSG00000184402","XM_005260390","SS18L1"
"ENSG00000100979","XM_005260439","PLTP"
"ENSG00000184674","XM_005261589","GSTT1"
"ENSG00000171189","XM_005260943","GRIK1"
"ENSG00000171189","XM_005260942","GRIK1"
"ENSG00000184674","XM_005261588","GSTT1"
"ENSG00000101670","XM_005258390","LIPG"
"ENSG00000165480","XM_005266288","SKA3"
"ENSG00000184508","XM_005254909","HDDC3"
"ENSG00000171189","XM_005260944","GRIK1"
"ENSG00000124209","XM_005260469","RAB22A"
"ENSG00000185015","XM_005251230","CA13"
"ENSG00000254093","XM_005272388","PINX1"
"ENSG00000254093","XM_005272389","PINX1"
"ENSG00000101773","XM_005258326","RBBP8"
"ENSG00000165219","XM_005251899","GAPVD1"
"ENSG00000165219","XM_005251904","GAPVD1"
"ENSG00000165219","XM_005251902","GAPVD1"
"ENSG00000165219","XM_005251901","GAPVD1"
"ENSG00000165219","XM_005251903","GAPVD1"
"ENSG00000170006","XM_005262809","TMEM154"
"ENSG00000180776","XM_005266328","ZDHHC20"
"ENSG00000147548","XM_005273549","WHSC1L1"
"ENSG00000169989","XM_005262807","TIGD4"
"ENSG00000180776","XM_005266329","ZDHHC20"
"ENSG00000228605","XM_005275607","GPANK1"
"ENSG00000228605","XM_005275474","GPANK1"
"ENSG00000180776","XM_005266330","ZDHHC20"
"ENSG00000101181","XM_005260393","MTG2"
"ENSG00000103932","XM_005254297","RPAP1"
"ENSG00000228605","XM_005275608","GPANK1"
"ENSG00000228605","XM_005275475","GPANK1"
"ENSG00000206190","XM_005268262","ATP10A"
"ENSG00000206190","XM_005268261","ATP10A"
"ENSG00000088836","XM_005260858","SLC4A11"
"ENSG00000088836","XM_005260857","SLC4A11"
"ENSG00000104643","XM_005272396","MTMR9"
"ENSG00000106686","XM_005251498","SPATA6L"
"ENSG00000106686","XM_005251497","SPATA6L"
"ENSG00000099991","XM_005261417","CABIN1"
"ENSG00000099991","XM_005261422","CABIN1"
"ENSG00000262515","XM_005265661","LPHN3"
"ENSG00000262515","XM_005265660","LPHN3"
"ENSG00000164113","XM_005262742","ADAD1"
"ENSG00000164113","XM_005262741","ADAD1"
"ENSG00000164113","XM_005262743","ADAD1"
"ENSG00000198768","XM_005260306","APCDD1L"
"ENSG00000164113","XM_005262744","ADAD1"
"ENSG00000167315","XM_005258186","ACAA2"
"ENSG00000145348","XM_005263353","TBCK"
"ENSG00000102683","XM_005266505","SGCG"
"ENSG00000125354","XM_005262400","SEPT6"
"ENSG00000101180","XM_005260266","HRH3"
"ENSG00000198901","XM_005254987","PRC1"
"ENSG00000125354","XM_005262401","SEPT6"
"ENSG00000169744","XM_005248202","LDB2"
"ENSG00000169744","XM_005248201","LDB2"
"ENSG00000169744","XM_005248200","LDB2"
"ENSG00000169118","XM_005254464","CSNK1G1"
"ENSG00000169744","XM_005248208","LDB2"
"ENSG00000169744","XM_005248206","LDB2"
"ENSG00000169744","XM_005248199","LDB2"
"ENSG00000169744","XM_005248198","LDB2"
"ENSG00000169744","XM_005248197","LDB2"
"ENSG00000169118","XM_005254469","CSNK1G1"
"ENSG00000169118","XM_005254468","CSNK1G1"
"ENSG00000137473","XM_005263269","TTC29"
"ENSG00000169744","XM_005248204","LDB2"
"ENSG00000169744","XM_005248203","LDB2"
"ENSG00000169744","XM_005248209","LDB2"
"ENSG00000081014","XM_005254264","AP4E1"
"ENSG00000073067","XM_005249792","CYP2W1"
"ENSG00000156299","XM_005261037","TIAM1"
"ENSG00000156299","XM_005261039","TIAM1"
"ENSG00000156299","XM_005261038","TIAM1"
"ENSG00000224774","XM_005275513","CSNK2B"
"ENSG00000224774","XM_005275351","CSNK2B"
"ENSG00000183578","XM_005254367","TNFAIP8L3"
"ENSG00000167393","XM_005274776","PPP2R3B"
"ENSG00000167393","XM_005274427","PPP2R3B"
"ENSG00000119487","XM_005252204","MAPKAP1"
"ENSG00000137460","XM_005263320","FHDC1"
"ENSG00000137460","XM_005263319","FHDC1"
"ENSG00000146540","XM_005249887","C7orf50"
"ENSG00000146540","XM_005249888","C7orf50"
"ENSG00000146540","XM_005249886","C7orf50"
"ENSG00000153130","XM_005263171","SCOC"
"ENSG00000153130","XM_005263170","SCOC"
"ENSG00000164849","XM_005249617","GPR146"
"ENSG00000164849","XM_005249616","GPR146"
"ENSG00000164849","XM_005249615","GPR146"
"ENSG00000164849","XM_005249613","GPR146"
"ENSG00000099998","XM_005261561","GGT5"
"ENSG00000215699","XM_005272757","SRSF10"
"ENSG00000215699","XM_005272756","SRSF10"
"ENSG00000215699","XM_003846424","SRSF10"
"ENSG00000160972","XM_005272351","PPP1R16A"
"ENSG00000160972","XM_005272350","PPP1R16A"
"ENSG00000250361","XM_005262969","GYPB"
"ENSG00000184056","XM_005254888","VPS33B"
"ENSG00000130703","XM_005260625","OSBPL2"
"ENSG00000130703","XM_005260624","OSBPL2"
"ENSG00000184056","XM_005254886","VPS33B"
"ENSG00000184056","XM_005254885","VPS33B"
"ENSG00000168028","XM_005265130","RPSA"
"ENSG00000168028","XM_005265128","RPSA"
"ENSG00000168028","XM_005265129","RPSA"
"ENSG00000164125","XM_005263054","FAM198B"
"ENSG00000088854","XM_005260687","C20orf194"
"ENSG00000088854","XM_005260686","C20orf194"
"ENSG00000088854","XM_005260685","C20orf194"
"ENSG00000088854","XM_005260684","C20orf194"
"ENSG00000127863","XM_005266445","TNFRSF19"
"ENSG00000154319","XM_005272398","FAM167A"
"ENSG00000154319","XM_005272397","FAM167A"
"ENSG00000100014","XM_005261408","SPECC1L"
"ENSG00000100014","XM_005261407","SPECC1L"
"ENSG00000100014","XM_005261406","SPECC1L"
"ENSG00000100982","XM_005260508","PCIF1"
"ENSG00000262273","XM_005277674","PNLIPRP1"
"ENSG00000262273","XM_005269903","PNLIPRP1"
"ENSG00000156304","XM_005261015","SCAF4"
"ENSG00000156304","XM_005261016","SCAF4"
"ENSG00000137869","XM_005254190","CYP19A1"
"ENSG00000103671","XM_005254789","TRIP4"
"ENSG00000027001","XM_005266405","MIPEP"
"ENSG00000096968","XM_005251455","JAK2"
"ENSG00000136573","XM_005272390","BLK"
"ENSG00000137869","XM_005254191","CYP19A1"
"ENSG00000266292","XM_005277632","CPA5"
"ENSG00000266292","XM_005277631","CPA5"
"ENSG00000266292","XM_005250712","CPA5"
"ENSG00000266292","XM_005250711","CPA5"
"ENSG00000266292","XM_005277630","CPA5"
"ENSG00000266292","XM_005250710","CPA5"
"ENSG00000138685","XM_005262836","FGF2"
"ENSG00000157103","XM_005265411","SLC6A1"
"ENSG00000157103","XM_005265410","SLC6A1"
"ENSG00000164124","XM_005263111","TMEM144"
"ENSG00000164124","XM_005263110","TMEM144"
"ENSG00000164124","XM_005263112","TMEM144"
"ENSG00000004660","XM_005256820","CAMKK1"
"ENSG00000004660","XM_005256818","CAMKK1"
"ENSG00000136574","XM_005272387","GATA4"
"ENSG00000100024","XM_005261633","UPB1"
"ENSG00000107018","XM_005251541","RLN1"
"ENSG00000004660","XM_005256819","CAMKK1"
"ENSG00000004660","XM_005256817","CAMKK1"
"ENSG00000151552","XM_005248183","QDPR"
"ENSG00000196814","XM_005252298","MVB12B"
"ENSG00000196814","XM_005252297","MVB12B"
"ENSG00000136574","XM_005272386","GATA4"
"ENSG00000136574","XM_005272385","GATA4"
"ENSG00000136574","XM_005272384","GATA4"
"ENSG00000130706","XM_005260257","ADRM1"
"ENSG00000196814","XM_005252299","MVB12B"
"ENSG00000198026","XM_005260507","ZNF335"
"ENSG00000198026","XM_005260506","ZNF335"
"ENSG00000198026","XM_005260504","ZNF335"
"ENSG00000107020","XM_005251511","PLGRKT"
"ENSG00000107020","XM_005251510","PLGRKT"
"ENSG00000198026","XM_005260505","ZNF335"
"ENSG00000170004","XM_005256431","CHD3"
"ENSG00000170004","XM_005256429","CHD3"
"ENSG00000197037","XM_005250196","ZSCAN25"
"ENSG00000197037","XM_005250195","ZSCAN25"
"ENSG00000197037","XM_005250194","ZSCAN25"
"ENSG00000138867","XM_005261762","GUCD1"
"ENSG00000226777","XM_005276452","KIAA0125"
"ENSG00000226777","XM_005272366","KIAA0125"
"ENSG00000215440","XM_005260551","NPEPL1"
"ENSG00000138867","XM_005261756","GUCD1"
"ENSG00000215641","XM_005275436","TRIM27"
"ENSG00000215641","XM_005274881","TRIM27"
"ENSG00000215641","XM_005249262","TRIM27"
"ENSG00000264872","XM_005277629","MEST"
"ENSG00000264872","XM_005250352","MEST"
"ENSG00000182957","XM_005266292","SPATA13"
"ENSG00000172967","XM_005274827","XKR3"
"ENSG00000182957","XM_005266290","SPATA13"
"ENSG00000182957","XM_005266291","SPATA13"
"ENSG00000235302","XM_005275576","LY6G6D"
"ENSG00000262564","XM_005277672","C10orf82"
"ENSG00000262564","XM_005277671","C10orf82"
"ENSG00000262564","XM_005269557","C10orf82"
"ENSG00000262564","XM_005269556","C10orf82"
"ENSG00000197646","XM_005251602","PDCD1LG2"
"ENSG00000197646","XM_005251601","PDCD1LG2"
"ENSG00000197646","XM_005251600","PDCD1LG2"
"ENSG00000169260","XM_005275373","ZNF311"
"ENSG00000169260","XM_005275371","ZNF311"
"ENSG00000169260","XM_005275097","ZNF311"
"ENSG00000169260","XM_005275095","ZNF311"
"ENSG00000169260","XM_005274943","ZNF311"
"ENSG00000169260","XM_005274941","ZNF311"
